ZIP,BKCLASS,EQR,REPDTE,DEPDOM,ASSET,STNAME,EQ,NAME,CITY,ADDRESS,ENDEFYMD,CERT,ESTYMD,LIAB,ID
4605,SM,7.588809680704486,20010630,245316,333860,MAINE,25336.0,UNION TRUST CO,ELLSWORTH,66 MAIN ST.,,9,19070101,308524,9_20010630
2110,SM,6.002021015965984,20010630,12433631,65690723,MASSACHUSETTS,3942771.0,STATE STREET BANK&TRUST CO,BOSTON,225 FRANKLIN ST.,99991231.0,14,17920101,61747952,14_20010630
1970,NM,44.58061435619926,20010630,100,12566,MASSACHUSETTS,5602.0,EASTERN BANK&TRUST CO,SALEM,217 ESSEX ST.,20021122.0,28,18030101,6964,28_20010630
36830,SM,7.312786799882839,20010630,343823,430178,ALABAMA,31458.0,AUBURNBANK,AUBURN,100 N. GAY ST.,99991231.0,35,19070103,398720,35_20010630
36732,NM,10.097136226883938,20010630,155895,194778,ALABAMA,19667.0,ROBERTSON BANKING CO,DEMOPOLIS,216 N. WALNUT AVE.,99991231.0,39,18700101,175111,39_20010630
36867,NM,13.53077330656181,20010630,86545,107577,ALABAMA,14556.0,PHENIX-GIRARD BANK,PHENIX CITY,8TH AVE. &13TH ST.,99991231.0,41,19040504,93021,41_20010630
35546,NM,12.816955684007707,20010630,11215,12975,ALABAMA,1663.0,BANK OF BERRY,BERRY,DEPOT ST.,20020401.0,43,19110101,11312,43_20010630
35077,NM,6.924467979581403,20010630,120570,131057,ALABAMA,9075.0,MERCHANTS BANK,HANCEVILLE,"201 COMMERCIAL ST, S.E.",20220105.0,46,19070101,121982,46_20010630
35565,NM,10.084041581460914,20010630,257562,316391,ALABAMA,31905.0,TRADERS&FARMERS BANK,HALEYVILLE,20TH ST.,20200701.0,47,19060106,284486,47_20010630
36401,NM,7.180254300673148,20010630,19930,22729,ALABAMA,1632.0,BANK OF EVERGREEN,EVERGREEN,146 W. FRONT ST.,99991231.0,49,19320901,21097,49_20010630
35582,NM,6.099633213834262,20010630,80071,96514,ALABAMA,5887.0,COMMUNITY SPIRIT BANK,RED BAY,200 4TH AVE. SW,99991231.0,50,19080317,90627,50_20010630
35592,NM,9.900062460961898,20010630,68803,83252,ALABAMA,8242.0,BANK OF VERNON,VERNON,44825 HWY. 17,99991231.0,51,19111111,75010,51_20010630
35594,NM,15.606071992184564,20010630,91191,133070,ALABAMA,20767.0,CITIZENS BANK OF WINFIELD,WINFIELD,108-110 E. 1ST AVE.,99991231.0,52,19200522,112303,52_20010630
36319,NM,8.745146601653703,20010630,140145,155046,ALABAMA,13559.0,PEOPLES COMMUNITY BANK,COLUMBIA,109 E. CHURCH ST.,20050413.0,53,19121021,141487,53_20010630
35952,NM,10.00478345659933,20010630,133781,163062,ALABAMA,16314.0,EXCHANGE BANK OF ALABAMA,ALTOONA,SIXTH &BLOUNT ST.,99991231.0,54,19090310,146748,54_20010630
35031,NM,7.115780782443348,20010630,617045,731529,ALABAMA,52054.0,COMMUNITY BANK,BLOUNTSVILLE,MAIN &LIBERTY ST.,20061107.0,57,19230723,679475,57_20010630
36502,NM,9.515604329383406,20010630,169220,212409,ALABAMA,20212.0,UNITED BANK,ATMORE,200 E. NASHVILLE AVE.,99991231.0,58,19040104,192197,58_20010630
36340,NM,15.027922824136612,20010630,83861,99202,ALABAMA,14908.0,CITIZENS BANK,GENEVA,515 COMMERCE ST.,20130101.0,59,19010101,84294,59_20010630
36426,N,13.499344692005241,20010630,97335,114450,ALABAMA,15450.0,FIRST NATIONAL BANK,BREWTON,227 BELLEVILLE AVE.,20031101.0,60,19120205,99000,60_20010630
35580,NM,14.35293063272988,20010630,18985,22316,ALABAMA,3203.0,BANK OF PARRISH,PARRISH,FIRST AVE. &MAIN ST.,20020509.0,63,19190519,19113,63_20010630
36750,NM,13.383031593894213,20010630,45651,53523,ALABAMA,7163.0,PEACHTREE BANK,MAPLESVILLE,MAIN ST.,20140228.0,68,19190919,46360,68_20010630
36425,NM,12.05801889227275,20010630,33840,38746,ALABAMA,4672.0,PEOPLES EXC BK MONROE CNTY,BEATRICE,SOUTH MOORE &MAIN ST.,99991231.0,70,19070823,34074,70_20010630
35040,SM,10.696830755277876,20010630,102649,119082,ALABAMA,12738.0,CENTRAL STATE BANK,CALERA,HIGHWAY 25,99991231.0,72,19160205,106344,72_20010630
36303,NM,11.680568490100011,20010630,130820,197576,ALABAMA,23078.0,BANKSOUTH,DOTHAN,3251 ROSS CLARK CIRCLE,99991231.0,77,19280101,174498,77_20010630
71671,NM,15.023148148148149,20010630,97508,116640,ARKANSAS,17523.0,WARREN BANK&TRUST CO,WARREN,201 S. MAIN ST.,99991231.0,81,19011231,99117,81_20010630
72742,NM,5.255481794407564,20010630,36958,39768,ARKANSAS,2090.0,MADISON BANK&TRUST,KINGSTON,101 PUBLIC SQ.,20030930.0,85,19110407,37678,85_20010630
72365,NM,9.85187537897381,20010630,30962,34633,ARKANSAS,3412.0,MARKED TREE BANK,MARKED TREE,210 FRISCO ST.,20030430.0,86,19320310,31221,86_20010630
71744,NM,11.393224650248584,20010630,36967,43245,ARKANSAS,4927.0,CALHOUN COUNTY BANK,HAMPTON,200 MAIN ST.,99991231.0,88,19071008,38318,88_20010630
71701,NM,8.754052277209766,20010630,74678,88222,ARKANSAS,7723.0,FIRST BANK OF SOUTH ARKANSAS,CAMDEN,1325 HWY. 4,99991231.0,89,19330818,80499,89_20010630
71655,NM,9.130406161543018,20010630,122392,136719,ARKANSAS,12483.0,COMMERCIAL BANK&TRUST CO,MONTICELLO,212 W. GAINES ST.,99991231.0,90,19130101,124236,90_20010630
72947,SM,7.270788128424846,20010630,48317,54382,ARKANSAS,3954.0,BANK OF MULBERRY,MULBERRY,311 MAIN ST.,20160923.0,91,19020304,50428,91_20010630
71661,NM,12.497372293462266,20010630,78188,95140,ARKANSAS,11890.0,DELTA TRUST&BANK,PARKDALE,1853 HWY. 165 S.,20141025.0,92,19100201,83250,92_20010630
71763,NM,6.62262326780535,20010630,31632,37236,ARKANSAS,2466.0,RIVERSIDE BANK,SPARKMAN,COMMERCE &MAIN ST.,99991231.0,93,19160101,34770,93_20010630
71671,NM,9.824414715719064,20010630,89594,100464,ARKANSAS,9870.0,FIRST STATE BANK OF WARREN,WARREN,MAIN ST.,99991231.0,94,18900101,90594,94_20010630
71940,NM,15.598741698706744,20010630,59803,71525,ARKANSAS,11157.0,BANK OF DELIGHT,DELIGHT,SECOND &ANTIOCH ST.,99991231.0,99,19110616,60368,99_20010630
72712,SM,7.033037594279046,20010630,542335,613604,ARKANSAS,43155.0,BANK OF BENTONVILLE,BENTONVILLE,201 N.E. A ST.,20020307.0,100,19310225,570449,100_20010630
71857,NM,10.439947510187167,20010630,64480,72395,ARKANSAS,7558.0,BANK OF PRESCOTT,PRESCOTT,EAST 2ND &MAIN ST.,20191109.0,101,19040810,64837,101_20010630
72521,NM,9.501601580004316,20010630,50237,60253,ARKANSAS,5725.0,BANK OF CAVE CITY,CAVE CITY,MAIN ST.,99991231.0,105,19060701,54528,105_20010630
72029,NM,12.244897959183673,20010630,24694,28469,ARKANSAS,3486.0,MERCHANTS&PLANTERS BANK,CLARENDON,297 MADISON ST.,99991231.0,107,18900101,24983,107_20010630
72703,NM,9.113315846763946,20010630,163807,208541,ARKANSAS,19005.0,COMMUNITY BANK OF NORTH AR,FAYETTEVILLE,1685 E. JOYCE BLVD.,20081124.0,108,19120601,189536,108_20010630
71842,NM,10.30904284828509,20010630,54774,61286,ARKANSAS,6318.0,HORATIO STATE BANK,HORATIO,PRIDE &MAIN,99991231.0,109,19050505,54968,109_20010630
72211,NM,8.161527270146554,20010630,643435,817249,ARKANSAS,66700.0,BANK OF THE OZARKS,LITTLE ROCK,12615 CHENAL PKWY.,99991231.0,110,19030303,750549,110_20010630
34995,N,7.668823937135426,20010630,971194,1155627,FLORIDA,88623.0,FIRST NB&T CO TREASURE COAST,STUART,815 COLORADO AVE.,99991231.0,131,19330101,1067004,131_20010630
32696,NM,8.325227902359183,20010630,125865,149077,FLORIDA,12411.0,PERKINS STATE BANK,WILLISTON,342 E. NOBLE AVE.,20130118.0,134,19130801,136666,134_20010630
31061,NM,10.756657650028366,20010630,107155,121627,GEORGIA,13083.0,CENTURY BANK&TRUST,MILLEDGEVILLE,141 S. WAYNE ST.,99991231.0,147,18980101,108544,147_20010630
30650,NM,10.026321193227426,20010630,92748,107138,GEORGIA,10742.0,BANK OF MADISON,MADISON,105 N. MAIN ST.,99991231.0,148,18900101,96396,148_20010630
31539,NM,7.98056904927134,20010630,53211,59081,GEORGIA,4715.0,BANK OF HAZLEHURST,HAZLEHURST,SOUTH TALLAHASSEE ST.,99991231.0,149,19060101,54366,149_20010630
30523,NM,7.337896227703766,20010630,374138,556372,GEORGIA,40826.0,HABERSHAM BANK,CLARKESVILLE,201 N. WASHINGTON ST.,20110218.0,151,19040513,515546,151_20010630
31622,NM,15.302526930433908,20010630,41565,49665,GEORGIA,7600.0,BANK OF ALAPAHA,ALAPAHA,245 NE RAILROAD ST.,99991231.0,155,19050325,42065,155_20010630
31029,NM,7.222244432894895,20010630,46171,50026,GEORGIA,3613.0,MONROE COUNTY BANK,FORSYTH,1 E. MAIN ST.,20140731.0,156,19081015,46413,156_20010630
31639,NM,4.870492006444417,20010630,82088,88759,GEORGIA,4323.0,UNITED BANKING CO,NASHVILLE,202 W. WASHINGTON AVE.,20030627.0,158,19240715,84436,158_20010630
31791,NM,14.266925533913696,20010630,40896,47901,GEORGIA,6834.0,SYLVESTER BANKING CO,SYLVESTER,300 N. MAIN ST.,20040228.0,159,18980101,41067,159_20010630
31061,NM,10.525354042941983,20010630,120438,142285,GEORGIA,14976.0,EXCHANGE BANK,MILLEDGEVILLE,250 W. HANCOCK ST.,99991231.0,160,19030601,127309,160_20010630
30213,SB,7.464863925307906,20010630,140539,161088,GEORGIA,12025.0,1ST COMMUNITY BANK,FAIRBURN,65 WASHINGTON ST.,20040601.0,161,19020101,149063,161_20010630
30224,N,10.576967218245937,20010630,198848,239615,GEORGIA,25344.0,FIRST NB OF GRIFFIN,GRIFFIN,318 S. HILL ST.,99991231.0,169,19330512,214271,169_20010630
31827,NM,14.076793452094366,20010630,14163,16616,GEORGIA,2339.0,PEOPLES BANK OF TALBOTTON,TALBOTTON,26 W. MONROE ST.,99991231.0,170,18910101,14277,170_20010630
30295,NM,11.130460721458041,20010630,414660,476036,GEORGIA,52985.0,UNITED BANK,ZEBULON,400 GRIFFIN ST.,99991231.0,172,19050131,423051,172_20010630
30058,NM,7.1986876387146586,20010630,114577,124356,GEORGIA,8952.0,PEOPLES BANK,LITHONIA,3065 STONE MOUNTAIN ST.,20150206.0,173,19100101,115404,173_20010630
30630,NM,11.85992955838526,20010630,64631,73820,GEORGIA,8755.0,COMMERCIAL BANK,CRAWFORD,MAIN ST.,99991231.0,175,19240905,65065,175_20010630
31836,NM,7.406971267074894,20010630,56645,67936,GEORGIA,5032.0,TALBOT STATE BANK,WOODLAND,MAIN ST.,99991231.0,178,19071125,62904,178_20010630
30680,NM,11.796393908547586,20010630,171488,198442,GEORGIA,23409.0,PEOPLES BANK,WINDER,71 N. BROAD ST.,20100917.0,182,19261030,175033,182_20010630
31055,NM,17.258342215298843,20010630,45050,60985,GEORGIA,10525.0,MERCHANTS&CITIZENS BANK,MCRAE,200 COLLEGE ST.,99991231.0,183,19290223,50460,183_20010630
31092,NM,10.010541918843279,20010630,453986,560619,GEORGIA,56121.0,FLAG BANK,VIENNA,UNION &3RD ST.,20061209.0,186,19310701,504498,186_20010630
31792,NM,7.849916606810241,20010630,277285,328564,GEORGIA,25792.0,COMMERCIAL BANK,THOMASVILLE,101 S. CRAWFORD ST.,20100601.0,190,19160722,302772,190_20010630
31313,NM,11.62552410676773,20010630,202146,233254,GEORGIA,27117.0,HERITAGE BANK,HINESVILLE,300 S. MAIN ST.,20190901.0,193,19111115,206137,193_20010630
46928,NM,11.18780197025789,20010630,42094,47811,INDIANA,5349.0,CITIZENS EXCHANGE BANK,FAIRMOUNT,102 S. MAIN ST.,20160401.0,195,18930715,42462,195_20010630
47946,NM,8.953550304151598,20010630,88786,107019,INDIANA,9582.0,PEOPLES STB OF FRANCESVILLE,FRANCESVILLE,101 W MONTGOMERY ST.,99991231.0,197,19300703,97437,197_20010630
47356,NM,9.830838827662545,20010630,74615,83116,INDIANA,8171.0,FIRST UNITED BANK,MIDDLETOWN,790 MILL ST.,20060101.0,202,18820518,74945,202_20010630
46172,NM,12.032567890400273,20010630,104414,123066,INDIANA,14808.0,TRI-COUNTY BANK&TRUST CO,ROACHDALE,116 W. WASHINGTON ST.,99991231.0,210,18921007,108258,210_20010630
51534,N,7.910493913923482,20010630,31156,35573,IOWA,2814.0,MILLS COUNTY BANK NA,GLENWOOD,102 S. LOCUST ST.,20080209.0,212,18830101,32759,212_20010630
52162,NM,11.328686404139122,20010630,48883,55664,IOWA,6306.0,POSTVILLE STATE BANK,POSTVILLE,135 W. TILDEN,20060331.0,213,18721025,49358,213_20010630
52353,SM,11.985519353940406,20010630,113129,143640,IOWA,17216.0,WASHINGTON STATE BANK,WASHINGTON,MAIN ST.,99991231.0,214,19320418,126424,214_20010630
51351,SM,6.024310176559312,20010630,39537,45084,IOWA,2716.0,SECURITY STATE BANK,MILFORD,1905 OKOBOJI AVE.,20020531.0,218,19330511,42368,218_20010630
52728,NM,11.027949947374575,20010630,37634,42755,IOWA,4715.0,BUFFALO SAVINGS BANK,BUFFALO,120 WASHINGTON ST.,20140915.0,219,19090401,38040,219_20010630
50003,NM,7.429196427091791,20010630,50438,60343,IOWA,4483.0,RACCOON VALLEY STATE BANK,ADEL,1009 COURT ST.,20031027.0,222,19141005,55860,222_20010630
50563,NM,9.857707082183628,20010630,16550,18483,IOWA,1822.0,MANSON STATE BANK,MANSON,MAIN ST.,20220514.0,223,19330101,16661,223_20010630
52621,NM,10.494016569499847,20010630,11558,13036,IOWA,1368.0,PEOPLES SAVINGS BANK,CRAWFORDSVILLE,100 S. MAIN,20220912.0,225,19121017,11668,225_20010630
50216,NM,7.789466741417406,20010630,52672,60646,IOWA,4724.0,GUTHRIE COUNTY STATE BANK,PANORA,505 E. MAIN ST.,99991231.0,226,19311017,55922,226_20010630
51023,NM,8.582908937999347,20010630,34692,42806,IOWA,3674.0,FARMERS STATE BANK,HAWARDEN,801 CENTRAL ST.,20080110.0,227,19170630,39132,227_20010630
51250,NM,6.8798752583557,20010630,211533,246269,IOWA,16943.0,AMERICAN STATE BANK,SIOUX CENTER,525 N. MAIN ST.,99991231.0,228,19130901,229326,228_20010630
51301,NM,6.998492188251901,20010630,53892,62342,IOWA,4363.0,COMMUNITY STATE BANK,SPENCER,1812 HWY. BLVD.,99991231.0,230,19140101,57979,230_20010630
51401,NM,11.205344641356962,20010630,63399,74991,IOWA,8403.0,COMMERCIAL SAVINGS BANK,CARROLL,627 N. ADAMS ST.,99991231.0,231,19170101,66588,231_20010630
52333,NM,14.519288728149487,20010630,50018,66360,IOWA,9635.0,SOLON STATE BANK,SOLON,126 S. MARKET ST.,99991231.0,232,19320317,56725,232_20010630
50574,NM,18.666424088056036,20010630,25651,32979,IOWA,6156.0,POCAHONTAS STATE BANK,POCAHONTAS,223 N. MAIN ST.,99991231.0,234,19260701,26823,234_20010630
51046,NM,8.874920843398925,20010630,36459,42637,IOWA,3784.0,SECURITY STATE BANK,PAULLINA,128 N. MAIN ST.,99991231.0,235,19310101,38853,235_20010630
51034,NM,7.924236567452649,20010630,26283,31044,IOWA,2460.0,FIRST STATE BANK OF MAPLETON,MAPLETON,402 MAIN ST.,20120423.0,236,18890101,28584,236_20010630
51467,NM,12.152777777777777,20010630,16596,20448,IOWA,2485.0,WEST SIDE STATE SAVINGS BANK,WESTSIDE,MAIN ST.,20050331.0,238,19230718,17963,238_20010630
51455,NM,7.7666699019703,20010630,46849,51515,IOWA,4001.0,AMERICAN INTERSTATE BANK,MANNING,223 MAIN ST.,20040403.0,239,19240101,47514,239_20010630
52069,NM,8.970140282602717,20010630,84399,98159,IOWA,8805.0,COMMUNITY BANK,PRESTON,1 W. WHITE ST.,20011101.0,241,19140101,89354,241_20010630
52175,NM,9.40495162847074,20010630,34361,44551,IOWA,4190.0,FARMERS SAVINGS BANK,WEST UNION,205 N. VINE ST.,20030808.0,243,19130705,40361,243_20010630
50220,NM,9.323078663122773,20010630,73927,88415,IOWA,8243.0,PERRY STATE BANK,PERRY,MAIN ST.,99991231.0,245,19270101,80172,245_20010630
50028,NM,7.1014568429847005,20010630,40134,57453,IOWA,4080.0,STATE SAVINGS BANK,BAXTER,201-207 MAIN ST.,99991231.0,248,18940704,53373,248_20010630
52738,SM,9.96855175405303,20010630,32795,36886,IOWA,3677.0,COLUMBUS JUNCTION STATE BANK,COLUMBUS JUNCTIO,134 MAIN ST.,20151101.0,249,19270101,33209,249_20010630
51034,NM,9.216422429453797,20010630,47151,57799,IOWA,5327.0,VALLEY BANK&TRUST,MAPLETON,401 MAIN ST.,99991231.0,251,18781003,52472,251_20010630
50158,SM,8.014528168355833,20010630,60500,74889,IOWA,6002.0,TAMA STATE BANK,MARSHALLTOWN,1610 S. CTR. ST.,99991231.0,252,19270505,68887,252_20010630
52156,NM,8.95210969066702,20010630,57347,90582,IOWA,8109.0,LUANA SAVINGS BANK,LUANA,302 MAIN ST.,99991231.0,253,19080801,82473,253_20010630
