ZIP,BKCLASS,EQR,REPDTE,DEPDOM,ASSET,STNAME,EQ,NAME,CITY,ADDRESS,ENDEFYMD,CERT,ESTYMD,LIAB,ID
4605,SM,7.545412203074056,20011231,268424,354255,MAINE,26730.0,UNION TRUST CO,ELLSWORTH,66 MAIN ST.,,9,19070101,327525,9_20011231
2110,SM,6.402663584957496,20011231,12137037,65409590,MASSACHUSETTS,4187956.0,STATE STREET BANK&TRUST CO,BOSTON,225 FRANKLIN ST.,99991231.0,14,17920101,61221634,14_20011231
1970,NM,45.37451507012832,20011231,100,13404,MASSACHUSETTS,6082.0,EASTERN BANK&TRUST CO,SALEM,217 ESSEX ST.,20021122.0,28,18030101,7322,28_20011231
36830,SM,6.9228735426314945,20011231,369871,468996,ALABAMA,32468.0,AUBURNBANK,AUBURN,100 N. GAY ST.,99991231.0,35,19070103,436528,35_20011231
36732,NM,10.04200820183917,20011231,161253,200199,ALABAMA,20104.0,ROBERTSON BANKING CO,DEMOPOLIS,216 N. WALNUT AVE.,99991231.0,39,18700101,180095,39_20011231
36867,NM,13.870637225872553,20011231,84923,106383,ALABAMA,14756.0,PHENIX-GIRARD BANK,PHENIX CITY,8TH AVE. &13TH ST.,99991231.0,41,19040504,91627,41_20011231
35546,NM,12.553191489361701,20011231,11056,12690,ALABAMA,1593.0,BANK OF BERRY,BERRY,DEPOT ST.,20020401.0,43,19110101,11097,43_20011231
35077,NM,7.017679064103947,20011231,119425,129758,ALABAMA,9106.0,MERCHANTS BANK,HANCEVILLE,"201 COMMERCIAL ST, S.E.",20220105.0,46,19070101,120652,46_20011231
35565,NM,10.147297454230447,20011231,263690,318607,ALABAMA,32330.0,TRADERS&FARMERS BANK,HALEYVILLE,20TH ST.,20200701.0,47,19060106,286277,47_20011231
36401,NM,6.423460963912257,20011231,22593,25438,ALABAMA,1634.0,BANK OF EVERGREEN,EVERGREEN,146 W. FRONT ST.,99991231.0,49,19320901,23804,49_20011231
35582,NM,7.1875911917214745,20011231,72220,89098,ALABAMA,6404.0,COMMUNITY SPIRIT BANK,RED BAY,200 4TH AVE. SW,99991231.0,50,19080317,82694,50_20011231
35592,NM,9.793993604300875,20011231,70896,86308,ALABAMA,8453.0,BANK OF VERNON,VERNON,44825 HWY. 17,99991231.0,51,19111111,77855,51_20011231
35594,NM,15.667065674776568,20011231,90698,136171,ALABAMA,21334.0,CITIZENS BANK OF WINFIELD,WINFIELD,108-110 E. 1ST AVE.,99991231.0,52,19200522,114837,52_20011231
36319,NM,9.607478137429524,20011231,133924,149342,ALABAMA,14348.0,PEOPLES COMMUNITY BANK,COLUMBIA,109 E. CHURCH ST.,20050413.0,53,19121021,134994,53_20011231
35952,NM,10.22885986621254,20011231,134554,163244,ALABAMA,16698.0,EXCHANGE BANK OF ALABAMA,ALTOONA,SIXTH &BLOUNT ST.,99991231.0,54,19090310,146546,54_20011231
35031,NM,7.071244836456171,20011231,618688,725035,ALABAMA,51269.0,COMMUNITY BANK,BLOUNTSVILLE,MAIN &LIBERTY ST.,20061107.0,57,19230723,673766,57_20011231
36502,NM,9.50625843885706,20011231,180674,219224,ALABAMA,20840.0,UNITED BANK,ATMORE,200 E. NASHVILLE AVE.,99991231.0,58,19040104,198384,58_20011231
36340,NM,14.058734102117246,20011231,92036,107876,ALABAMA,15166.0,CITIZENS BANK,GENEVA,515 COMMERCE ST.,20130101.0,59,19010101,92710,59_20011231
36426,N,12.178757798093146,20011231,110564,127435,ALABAMA,15520.0,FIRST NATIONAL BANK,BREWTON,227 BELLEVILLE AVE.,20031101.0,60,19120205,111915,60_20011231
35580,NM,14.492620350360935,20011231,18550,21749,ALABAMA,3152.0,BANK OF PARRISH,PARRISH,FIRST AVE. &MAIN ST.,20020509.0,63,19190519,18597,63_20011231
36750,NM,14.142057264845228,20011231,45197,53401,ALABAMA,7552.0,PEACHTREE BANK,MAPLESVILLE,MAIN ST.,20140228.0,68,19190919,45849,68_20011231
36425,NM,11.131510947912417,20011231,39023,44118,ALABAMA,4911.0,PEOPLES EXC BK MONROE CNTY,BEATRICE,SOUTH MOORE &MAIN ST.,99991231.0,70,19070823,39207,70_20011231
35040,SM,11.183665804546191,20011231,101357,117153,ALABAMA,13102.0,CENTRAL STATE BANK,CALERA,HIGHWAY 25,99991231.0,72,19160205,104051,72_20011231
36303,NM,11.445067318288535,20011231,140920,208710,ALABAMA,23887.0,BANKSOUTH,DOTHAN,3251 ROSS CLARK CIRCLE,99991231.0,77,19280101,184823,77_20011231
71671,SM,14.25565714092576,20011231,98264,118346,ARKANSAS,16871.0,WARREN BANK&TRUST CO,WARREN,201 S. MAIN ST.,99991231.0,81,19011231,101475,81_20011231
72742,NM,7.776904948939513,20011231,33797,36917,ARKANSAS,2871.0,MADISON BANK&TRUST,KINGSTON,101 PUBLIC SQ.,20030930.0,85,19110407,34046,85_20011231
72365,NM,10.985205110961669,20011231,26301,29740,ARKANSAS,3267.0,MARKED TREE BANK,MARKED TREE,210 FRISCO ST.,20030430.0,86,19320310,26473,86_20011231
71744,NM,8.213566459172464,20011231,38862,43696,ARKANSAS,3589.0,CALHOUN COUNTY BANK,HAMPTON,200 MAIN ST.,99991231.0,88,19071008,40107,88_20011231
71701,NM,8.976117618092927,20011231,75027,85293,ARKANSAS,7656.0,FIRST BANK OF SOUTH ARKANSAS,CAMDEN,1325 HWY. 4,99991231.0,89,19330818,77637,89_20011231
71655,NM,9.28639705618123,20011231,123058,139139,ARKANSAS,12921.0,COMMERCIAL BANK&TRUST CO,MONTICELLO,212 W. GAINES ST.,99991231.0,90,19130101,126218,90_20011231
72947,SM,7.2833495618305735,20011231,47557,56485,ARKANSAS,4114.0,BANK OF MULBERRY,MULBERRY,311 MAIN ST.,20160923.0,91,19020304,52371,91_20011231
71661,NM,9.561650652988817,20011231,110758,124581,ARKANSAS,11912.0,DELTA TRUST&BANK,PARKDALE,1853 HWY. 165 S.,20141025.0,92,19100201,112669,92_20011231
71763,NM,7.358255992135773,20011231,28610,34587,ARKANSAS,2545.0,RIVERSIDE BANK,SPARKMAN,COMMERCE &MAIN ST.,99991231.0,93,19160101,32042,93_20011231
71671,NM,10.322870236019916,20011231,85387,95797,ARKANSAS,9889.0,FIRST STATE BANK OF WARREN,WARREN,MAIN ST.,99991231.0,94,18900101,85908,94_20011231
71940,NM,15.634334437625592,20011231,61735,73652,ARKANSAS,11515.0,BANK OF DELIGHT,DELIGHT,SECOND &ANTIOCH ST.,99991231.0,99,19110616,62137,99_20011231
72712,SM,6.163061199864181,20011231,635933,712714,ARKANSAS,43925.0,BANK OF BENTONVILLE,BENTONVILLE,201 N.E. A ST.,20020307.0,100,19310225,668789,100_20011231
71857,NM,10.223730691972015,20011231,64298,72185,ARKANSAS,7380.0,BANK OF PRESCOTT,PRESCOTT,EAST 2ND &MAIN ST.,20191109.0,101,19040810,64805,101_20011231
72521,NM,8.559251426007819,20011231,53060,62412,ARKANSAS,5342.0,BANK OF CAVE CITY,CAVE CITY,MAIN ST.,99991231.0,105,19060701,57070,105_20011231
72029,NM,11.35379771743408,20011231,26774,30492,ARKANSAS,3462.0,MERCHANTS&PLANTERS BANK,CLARENDON,297 MADISON ST.,99991231.0,107,18900101,27030,107_20011231
72703,NM,9.069739833983217,20011231,168387,219014,ARKANSAS,19864.0,COMMUNITY BANK OF NORTH AR,FAYETTEVILLE,1685 E. JOYCE BLVD.,20081124.0,108,19120601,199150,108_20011231
71842,NM,10.094998992669735,20011231,57819,64527,ARKANSAS,6514.0,HORATIO STATE BANK,HORATIO,PRIDE &MAIN,99991231.0,109,19050505,58013,109_20011231
72211,NM,8.153020399805825,20011231,678560,869322,ARKANSAS,70876.0,BANK OF THE OZARKS,LITTLE ROCK,12615 CHENAL PKWY.,99991231.0,110,19030303,798446,110_20011231
34995,N,7.529496040134685,20011231,1015164,1225673,FLORIDA,92287.0,FIRST NB&T CO TREASURE COAST,STUART,815 COLORADO AVE.,99991231.0,131,19330101,1133386,131_20011231
32696,NM,8.335966545875044,20011231,126048,148741,FLORIDA,12399.0,PERKINS STATE BANK,WILLISTON,342 E. NOBLE AVE.,20130118.0,134,19130801,136342,134_20011231
31061,NM,11.360329086962532,20011231,108681,123007,GEORGIA,13974.0,CENTURY BANK&TRUST,MILLEDGEVILLE,141 S. WAYNE ST.,99991231.0,147,18980101,109033,147_20011231
30650,NM,10.277834871895694,20011231,97082,111901,GEORGIA,11501.0,BANK OF MADISON,MADISON,105 N. MAIN ST.,99991231.0,148,18900101,100400,148_20011231
31539,NM,8.036543065122869,20011231,55586,61407,GEORGIA,4935.0,BANK OF HAZLEHURST,HAZLEHURST,SOUTH TALLAHASSEE ST.,99991231.0,149,19060101,56472,149_20011231
30523,NM,7.833725038061874,20011231,353480,541224,GEORGIA,42398.0,HABERSHAM BANK,CLARKESVILLE,201 N. WASHINGTON ST.,20110218.0,151,19040513,498826,151_20011231
31622,NM,14.572730218638608,20011231,44150,52461,GEORGIA,7645.0,BANK OF ALAPAHA,ALAPAHA,245 NE RAILROAD ST.,99991231.0,155,19050325,44816,155_20011231
31029,NM,7.37563387193515,20011231,50709,55019,GEORGIA,4058.0,MONROE COUNTY BANK,FORSYTH,1 E. MAIN ST.,20140731.0,156,19081015,50961,156_20011231
31639,NM,5.6247698903787455,20011231,77441,84199,GEORGIA,4736.0,UNITED BANKING CO,NASHVILLE,202 W. WASHINGTON AVE.,20030627.0,158,19240715,79463,158_20011231
31791,NM,13.97151320861908,20011231,42231,49286,GEORGIA,6886.0,SYLVESTER BANKING CO,SYLVESTER,300 N. MAIN ST.,20040228.0,159,18980101,42400,159_20011231
31061,NM,10.398727508238311,20011231,121650,148999,GEORGIA,15494.0,EXCHANGE BANK,MILLEDGEVILLE,250 W. HANCOCK ST.,99991231.0,160,19030601,133505,160_20011231
30213,SB,7.4839289063698935,20011231,151538,175937,GEORGIA,13167.0,1ST COMMUNITY BANK,FAIRBURN,65 WASHINGTON ST.,20040601.0,161,19020101,162770,161_20011231
30224,N,10.674866166039862,20011231,202587,244893,GEORGIA,26142.0,FIRST NB OF GRIFFIN,GRIFFIN,318 S. HILL ST.,99991231.0,169,19330512,218751,169_20011231
