ZIP,BKCLASS,EQR,REPDTE,DEPDOM,ASSET,STNAME,EQ,NAME,CITY,ADDRESS,ENDEFYMD,CERT,ESTYMD,LIAB,ID
4605,SM,7.638338252090353,20010930,268903,349343,MAINE,26684.0,UNION TRUST CO,ELLSWORTH,66 MAIN ST.,,9,19070101,322659,9_20010930
2110,SM,6.155959915499476,20010930,17285276,68077685,MASSACHUSETTS,4190835.0,STATE STREET BANK&TRUST CO,BOSTON,225 FRANKLIN ST.,99991231.0,14,17920101,63886850,14_20010930
1970,NM,44.53254795348135,20010930,100,13242,MASSACHUSETTS,5897.0,EASTERN BANK&TRUST CO,SALEM,217 ESSEX ST.,20021122.0,28,18030101,7345,28_20010930
36830,SM,7.290764175254877,20010930,358173,451297,ALABAMA,32903.0,AUBURNBANK,AUBURN,100 N. GAY ST.,99991231.0,35,19070103,418394,35_20010930
36732,NM,10.058398836951433,20010930,163267,202915,ALABAMA,20410.0,ROBERTSON BANKING CO,DEMOPOLIS,216 N. WALNUT AVE.,99991231.0,39,18700101,182505,39_20010930
36867,NM,14.759683673077662,20010930,82361,104196,ALABAMA,15379.0,PHENIX-GIRARD BANK,PHENIX CITY,8TH AVE. &13TH ST.,99991231.0,41,19040504,88817,41_20010930
35546,NM,13.366413397425958,20010930,11062,12898,ALABAMA,1724.0,BANK OF BERRY,BERRY,DEPOT ST.,20020401.0,43,19110101,11174,43_20010930
35077,NM,7.073232653500843,20010930,119442,129983,ALABAMA,9194.0,MERCHANTS BANK,HANCEVILLE,"201 COMMERCIAL ST, S.E.",20220105.0,46,19070101,120789,46_20010930
35565,NM,10.534137268450596,20010930,258000,316941,ALABAMA,33387.0,TRADERS&FARMERS BANK,HALEYVILLE,20TH ST.,20200701.0,47,19060106,283554,47_20010930
36401,NM,7.338065661047027,20010930,19662,22540,ALABAMA,1654.0,BANK OF EVERGREEN,EVERGREEN,146 W. FRONT ST.,99991231.0,49,19320901,20886,49_20010930
35582,NM,6.866612333604999,20010930,74988,92025,ALABAMA,6319.0,COMMUNITY SPIRIT BANK,RED BAY,200 4TH AVE. SW,99991231.0,50,19080317,85706,50_20010930
35592,NM,9.966050105361742,20010930,70257,85420,ALABAMA,8513.0,BANK OF VERNON,VERNON,44825 HWY. 17,99991231.0,51,19111111,76907,51_20010930
35594,NM,16.507787477947467,20010930,89386,132071,ALABAMA,21802.0,CITIZENS BANK OF WINFIELD,WINFIELD,108-110 E. 1ST AVE.,99991231.0,52,19200522,110269,52_20010930
36319,NM,9.309760647589666,20010930,136356,151701,ALABAMA,14123.0,PEOPLES COMMUNITY BANK,COLUMBIA,109 E. CHURCH ST.,20050413.0,53,19121021,137578,53_20010930
