ZIP,BKCLASS,EQR,REPDTE,DEPDOM,ASSET,STNAME,EQ,NAME,CITY,ADDRESS,ENDEFYMD,CERT,ESTYMD,LIAB,ID
2111,SM,9.583004101516856,20170630,79114517,234888953,MASSACHUSETTS,22509418.0,STATE STREET BANK&TRUST CO,BOSTON,1 LINCOLN ST. FL 1,99991231,14,17920101,212149535,14_20170630
36830,SM,10.38626188959952,20170630,744528,836971,ALABAMA,86930.0,AUBURNBANK,AUBURN,100 N. GAY ST.,99991231,35,19070103,750041,35_20170630
36732,NM,11.083750894774516,20170630,238604,279400,ALABAMA,30968.0,ROBERTSON BANKING CO,DEMOPOLIS,216 N. WALNUT AVE.,99991231,39,18700101,248432,39_20170630
36867,NM,15.558279229226047,20170630,133506,172969,ALABAMA,26911.0,PHENIX-GIRARD BANK,PHENIX CITY,801 13TH ST.,99991231,41,19040504,146057,41_20170630
35055,NM,9.509783219461216,20170630,251578,279407,ALABAMA,26571.0,MERCHANTS BANK OF ALABAMA,CULLMAN,900 2ND AVE SW,20220105,46,19070101,252836,46_20170630
35565,NM,14.4615254488169,20170630,297805,378328,ALABAMA,54712.0,TRADERS&FARMERS BANK,HALEYVILLE,819 20TH ST,20200701,47,19060106,323616,47_20170630
36401,NM,11.755184461040418,20170630,54893,62398,ALABAMA,7335.0,BANK OF EVERGREEN,EVERGREEN,146 W. FRONT ST.,99991231,49,19320901,55063,49_20170630
35582,NM,10.747428700865711,20170630,123204,141271,ALABAMA,15183.0,COMMUNITY SPIRIT BANK,RED BAY,200 4TH AVE. SW,99991231,50,19080317,126088,50_20170630
35592,NM,16.667358574117124,20170630,119338,144528,ALABAMA,24089.0,BANK OF VERNON,VERNON,44825 HWY. 17,99991231,51,19111111,120439,51_20170630
35594,NM,22.65722688160331,20170630,146488,229525,ALABAMA,52004.0,CITIZENS BANK OF WINFIELD,WINFIELD,236 BANKHEAD HWY.,99991231,52,19200522,177521,52_20170630
35952,NM,12.401813855214483,20170630,246628,284918,ALABAMA,35335.0,EXCHANGE BANK OF ALABAMA,ALTOONA,SIXTH &BLOUNT ST.,99991231,54,19090310,249583,54_20170630
36502,NM,8.471835821872844,20170630,540842,595597,ALABAMA,50458.0,UNITED BANK,ATMORE,200 E. NASHVILLE AVE.,99991231,58,19040104,545139,58_20170630
36460,NM,14.765481977147907,20170630,53884,63364,ALABAMA,9356.0,PEOPLES EXC BK MONROE CNTY,MONROEVILLE,2013 HWY. 21 BYPASS,99991231,70,19070823,54008,70_20170630
35040,SM,11.377780528276197,20170630,225567,258539,ALABAMA,29416.0,CENTRAL STATE BANK,CALERA,11025 HWY 25,99991231,72,19160205,229123,72_20170630
36303,NM,21.26505305830452,20170630,131533,167740,ALABAMA,35670.0,BANKSOUTH,DOTHAN,3251 ROSS CLARK CIRCLE,99991231,77,19280101,132070,77_20170630
71671,SM,16.51222264009026,20170630,104885,132950,ARKANSAS,21953.0,WARREN BANK&TRUST CO,WARREN,201 S. MAIN ST.,99991231,81,19011231,110997,81_20170630
71744,NM,9.176954059127281,20170630,360825,427789,ARKANSAS,39258.0,GENERATIONS BANK,HAMPTON,302 E MAIN,99991231,88,19071008,388531,88_20170630
72703,NM,11.973878223529647,20170630,440451,548661,ARKANSAS,65696.0,SIGNATURE BANK OF ARKANSAS,FAYETTEVILLE,"3878 N. CROSSOVER RD, # 20",99991231,89,19330818,482965,89_20170630
71655,SM,9.517349180835533,20170630,171493,203439,ARKANSAS,19362.0,COMMERCIAL BANK&TRUST CO,MONTICELLO,212 W. GAINES ST.,99991231,90,19130101,184077,90_20170630
71763,NM,8.783297336213103,20170630,52118,58338,ARKANSAS,5124.0,RIVERSIDE BANK,SPARKMAN,COMMERCE &MAIN ST.,99991231,93,19160101,53214,93_20170630
71671,SM,10.768132113367553,20170630,99708,112025,ARKANSAS,12063.0,FIRST STATE BANK OF WARREN,WARREN,104 S MAIN ST.,99991231,94,18900101,99962,94_20170630
