ZIP,BKCLASS,EQR,REPDTE,DEPDOM,ASSET,STNAME,EQ,NAME,CITY,ADDRESS,ENDEFYMD,CERT,ESTYMD,LIAB,ID
2111,SM,9.769768167998537,20120930,51993262,200653748,MASSACHUSETTS,19603406.0,STATE STREET BANK&TRUST CO,BOSTON,1 LINCOLN ST. FL 1,99991231,14,17920101,180820342,14_20120930
36830,SM,10.161684564568388,20120930,631197,753999,ALABAMA,76619.0,AUBURNBANK,AUBURN,100 N. GAY ST.,99991231,35,19070103,677380,35_20120930
36732,NM,10.60034871118232,20120930,212626,254652,ALABAMA,26994.0,ROBERTSON BANKING CO,DEMOPOLIS,216 N. WALNUT AVE.,99991231,39,18700101,227658,39_20120930
36867,NM,15.761670231586214,20120930,120033,162229,ALABAMA,25570.0,PHENIX-GIRARD BANK,PHENIX CITY,801 13TH ST.,99991231,41,19040504,136659,41_20120930
35055,NM,9.038908319284737,20120930,215845,238458,ALABAMA,21554.0,MERCHANTS BANK OF ALABAMA,CULLMAN,900 2ND AVE SW,20220105,46,19070101,216904,46_20120930
35565,NM,14.107185248044269,20120930,285714,366487,ALABAMA,51701.0,TRADERS&FARMERS BANK,HALEYVILLE,819 20TH ST,20200701,47,19060106,314786,47_20120930
36401,NM,9.086358911176992,20120930,46815,51946,ALABAMA,4720.0,BANK OF EVERGREEN,EVERGREEN,146 W. FRONT ST.,99991231,49,19320901,47226,49_20120930
35582,NM,9.250796288602686,20120930,119534,137199,ALABAMA,12692.0,COMMUNITY SPIRIT BANK,RED BAY,200 4TH AVE. SW,99991231,50,19080317,124507,50_20120930
35592,NM,13.336029386984801,20120930,126306,148365,ALABAMA,19786.0,BANK OF VERNON,VERNON,44825 HWY. 17,99991231,51,19111111,128579,51_20120930
35594,NM,23.57692678007672,20120930,132215,197337,ALABAMA,46526.0,CITIZENS BANK OF WINFIELD,WINFIELD,236 BANKHEAD HWY.,99991231,52,19200522,150811,52_20120930
35952,NM,11.29574069800241,20120930,204558,233982,ALABAMA,26430.0,EXCHANGE BANK OF ALABAMA,ALTOONA,SIXTH &BLOUNT ST.,99991231,54,19090310,207552,54_20120930
36502,NM,10.531543981678576,20120930,406781,458043,ALABAMA,48239.0,UNITED BANK,ATMORE,200 E. NASHVILLE AVE.,99991231,58,19040104,409804,58_20120930
36340,NM,17.2494410042142,20120930,137780,166817,ALABAMA,28775.0,CITIZENS BANK,GENEVA,515 COMMERCE ST.,20130101,59,19010101,138042,59_20120930
36750,NM,10.652753275027212,20120930,45206,53282,ALABAMA,5676.0,PEACHTREE BANK,MAPLESVILLE,9411 AL HWY. 22,20140228,68,19190919,47606,68_20120930
36460,NM,14.162515566625157,20120930,54913,64240,ALABAMA,9098.0,PEOPLES EXC BK MONROE CNTY,MONROEVILLE,2013 HWY. 21 BYPASS,99991231,70,19070823,55142,70_20120930
35040,SM,13.421601196662323,20120930,141312,166463,ALABAMA,22342.0,CENTRAL STATE BANK,CALERA,11025 HWY 25,99991231,72,19160205,144121,72_20120930
36303,NM,17.079217198083153,20120930,148131,186765,ALABAMA,31898.0,BANKSOUTH,DOTHAN,3251 ROSS CLARK CIRCLE,99991231,77,19280101,154867,77_20120930
71671,SM,16.095001419068122,20120930,118491,144461,ARKANSAS,23251.0,WARREN BANK&TRUST CO,WARREN,201 S. MAIN ST.,99991231,81,19011231,121210,81_20120930
71744,NM,10.187357458739669,20120930,214739,244666,ARKANSAS,24925.0,FIRST BANK,HAMPTON,302 E MAIN,99991231,88,19071008,219741,88_20120930
72703,NM,11.41745957384941,20120930,383221,495224,ARKANSAS,56542.0,SIGNATURE BANK OF ARKANSAS,FAYETTEVILLE,"3878 N. CROSSOVER RD, # 20",99991231,89,19330818,438681,89_20120930
71655,NM,9.75353353318662,20120930,155603,173127,ARKANSAS,16886.0,COMMERCIAL BANK&TRUST CO,MONTICELLO,212 W. GAINES ST.,99991231,90,19130101,156241,90_20120930
72947,SM,10.35503505948086,20120930,133162,162153,ARKANSAS,16791.0,ALLIED BANK,MULBERRY,311 MAIN ST.,20160923,91,19020304,145362,91_20120930
71661,NM,9.241530587375092,20120930,359468,410300,ARKANSAS,37918.0,DELTA TRUST&BANK,PARKDALE,1853 HWY. 165 S.,20141025,92,19100201,372382,92_20120930
71763,NM,9.305145508224378,20120930,50486,56904,ARKANSAS,5295.0,RIVERSIDE BANK,SPARKMAN,COMMERCE &MAIN ST.,99991231,93,19160101,51609,93_20120930
71671,NM,11.195413926825156,20120930,89231,100827,ARKANSAS,11288.0,FIRST STATE BANK OF WARREN,WARREN,104 S MAIN ST.,99991231,94,18900101,89538,94_20120930
71940,NM,20.761462257905315,20120930,64903,83077,ARKANSAS,17248.0,BANK OF DELIGHT,DELIGHT,503 E ANTIOCH ST,99991231,99,19110616,65829,99_20120930
71857,NM,13.94411533987936,20120930,60240,73938,ARKANSAS,10310.0,BANK OF PRESCOTT,PRESCOTT,EAST 2ND &MAIN ST.,20191109,101,19040810,63628,101_20120930
72521,SM,11.165607219300227,20120930,75235,92973,ARKANSAS,10381.0,BANK OF CAVE CITY,CAVE CITY,133 S MAIN ST.,99991231,105,19060701,82592,105_20120930
72029,NM,11.780320366132722,20120930,38252,43700,ARKANSAS,5148.0,MERCHANTS&PLANTERS BANK,CLARENDON,297 MADISON ST.,99991231,107,18900101,38553,107_20120930
71842,NM,10.62816631422008,20120930,117352,131462,ARKANSAS,13972.0,HORATIO STATE BANK,HORATIO,PRIDE &MAIN,99991231,109,19050505,117490,109_20120930
72223,NM,13.561807838822881,20120930,2905271,3812154,ARKANSAS,516997.0,BANK OF THE OZARKS,LITTLE ROCK,17901 CHENAL PKWY.,99991231,110,19030303,3291724,110_20120930
34994,N,10.15986092695492,20120930,1684447,2080058,FLORIDA,211331.0,SEACOAST NATIONAL BANK,STUART,815 COLORADO AVE.,99991231,131,19330101,1868727,131_20120930
32696,NM,8.70968306674214,20120930,156087,171361,FLORIDA,14925.0,PERKINS STATE BANK,WILLISTON,342 E. NOBLE AVE.,20130118,134,19130801,156436,134_20120930
31061,NM,9.297121032765283,20120930,199527,223865,GEORGIA,20813.0,CENTURY BANK&TRUST,MILLEDGEVILLE,141 S WAYNE ST,99991231,147,18980101,203052,147_20120930
30650,NM,13.945750915570365,20120930,163465,202879,GEORGIA,28293.0,BANK OF MADISON,MADISON,133 N. MAIN ST.,99991231,148,18900101,174586,148_20120930
31539,NM,12.75478278709545,20120930,84840,97485,GEORGIA,12434.0,BANK OF HAZLEHURST,HAZLEHURST,22 S. TALLAHASSEE ST.,99991231,149,19060101,85051,149_20120930
31622,NM,10.848196525659727,20120930,106874,120656,GEORGIA,13089.0,BANK OF ALAPAHA,ALAPAHA,245 NE RAILROAD ST.,99991231,155,19050325,107567,155_20120930
31029,NM,8.955532812805446,20120930,78975,86963,GEORGIA,7788.0,MONROE COUNTY BANK,FORSYTH,1 E. MAIN ST.,20140731,156,19081015,79175,156_20120930
31061,NM,10.21719996088089,20120930,197315,224954,GEORGIA,22984.0,EXCHANGE BANK,MILLEDGEVILLE,250 W HANCOCK ST,99991231,160,19030601,201970,160_20120930
30224,N,4.2700208171352605,20120930,218040,239226,GEORGIA,10215.0,FIRST NB OF GRIFFIN,GRIFFIN,318 S. HILL ST.,99991231,169,19330512,229011,169_20120930
31827,NM,12.984711500916108,20120930,28906,33293,GEORGIA,4323.0,PEOPLES BANK OF TALBOTTON,TALBOTTON,26 W. MONROE ST.,99991231,170,18910101,28970,170_20120930
30295,NM,10.831497527075134,20120930,922146,1039053,GEORGIA,112545.0,UNITED BANK,ZEBULON,400 GRIFFIN ST.,99991231,172,19050131,926508,172_20120930
30014,NM,3.883833598512612,20120930,107038,111874,GEORGIA,4345.0,PEOPLES BANK,COVINGTON,6124 HWY. 278 NE,20150206,173,19100101,107529,173_20120930
30630,NM,11.32503434248778,20120930,82865,93907,GEORGIA,10635.0,COMMERCIAL BANK,CRAWFORD,102 N. CHURCH ST.,99991231,175,19240905,83272,175_20120930
31836,NM,8.089925435891686,20120930,65234,71348,GEORGIA,5772.0,TALBOT STATE BANK,WOODLAND,HIGHWAY 36 E.,99991231,178,19071125,65576,178_20120930
31055,NM,16.639114569683287,20120930,80722,99206,GEORGIA,16507.0,MERCHANTS&CITIZENS BANK,MCRAE,6 COLLEGE ST.,99991231,183,19290223,82699,183_20120930
31313,NM,3.481145312577924,20120930,696144,741911,GEORGIA,25827.0,HERITAGE BANK,HINESVILLE,300 S. MAIN ST.,20190901,193,19111115,716084,193_20120930
46928,NM,11.79973284838341,20120930,54578,62137,INDIANA,7332.0,CITIZENS EXCHANGE BANK,FAIRMOUNT,102 S. MAIN ST.,20160401,195,18930715,54805,195_20120930
47946,NM,10.446255814910872,20120930,242519,291492,INDIANA,30450.0,ALLIANCE BANK,FRANCESVILLE,101 W MONTGOMERY ST.,99991231,197,19300703,261043,197_20120930
46172,NM,12.820614785063825,20120930,151668,176029,INDIANA,22568.0,TRI-COUNTY BANK&TRUST CO,ROACHDALE,18 E. WASHINGTON ST.,99991231,210,18921007,153461,210_20120930
52353,SM,14.399213041532441,20120930,182987,225679,IOWA,32496.0,WASHINGTON STATE BANK,WASHINGTON,121 S MARION AVE,99991231,214,19320418,193183,214_20120930
52728,NM,10.193000059021424,20120930,30255,33886,IOWA,3454.0,BUFFALO SAVINGS BANK,BUFFALO,120 WASHINGTON ST.,20140915,219,19090401,30432,219_20120930
50563,NM,11.714464621164684,20120930,35135,39925,IOWA,4677.0,MANSON STATE BANK,MANSON,1001 MAIN ST,20220514,223,19330101,35248,223_20120930
52621,NM,10.668705339033295,20120930,27994,32047,IOWA,3419.0,PEOPLES SAVINGS BANK,CRAWFORDSVILLE,100 S. MAIN,20220912,225,19121017,28628,225_20120930
50216,NM,9.384113913192657,20120930,93907,116580,IOWA,10940.0,GUTHRIE COUNTY STATE BANK,PANORA,505 E. MAIN ST.,99991231,226,19311017,105640,226_20120930
51250,NM,11.451952327374256,20120930,473898,575928,IOWA,65955.0,AMERICAN STATE BANK,SIOUX CENTER,525 N. MAIN ST.,99991231,228,19130901,509973,228_20120930
