ZIP,BKCLASS,EQR,REPDTE,DEPDOM,ASSET,STNAME,EQ,NAME,CITY,ADDRESS,ENDEFYMD,CERT,ESTYMD,LIAB,ID
4104,SM,6.709705994422328,20000331,1281363,1842346,MAINE,123616.0,FLEET BANK OF MAINE,PORTLAND,ONE CITY CTR.,20001002,8,19331120,1718730,8_20000331
2110,SM,5.542456376229667,20000331,12553450,56234651,MASSACHUSETTS,3116781.0,STATE STREET BANK&TRUST CO,BOSTON,225 FRANKLIN ST.,99991231,14,17920101,53117870,14_20000331
1970,NM,60.16364619962131,20000331,100,14788,MASSACHUSETTS,8897.0,EASTERN BANK&TRUST CO,SALEM,217 ESSEX ST.,20021122,28,18030101,5891,28_20000331
36830,SM,6.737953716019046,20000331,319974,399231,ALABAMA,26900.0,AUBURNBANK,AUBURN,100 N. GAY ST.,99991231,35,19070103,372331,35_20000331
36732,NM,9.512938863246296,20000331,152637,180039,ALABAMA,17127.0,ROBERTSON BANKING CO,DEMOPOLIS,216 N. WALNUT AVE.,99991231,39,18700101,162912,39_20000331
36867,NM,10.814082233940736,20000331,86546,106574,ALABAMA,11525.0,PHENIX-GIRARD BANK,PHENIX CITY,8TH AVE. &13TH ST.,99991231,41,19040504,95049,41_20000331
35546,NM,15.384003816186992,20000331,10576,12578,ALABAMA,1935.0,BANK OF BERRY,BERRY,DEPOT ST.,20020401,43,19110101,10643,43_20000331
35077,NM,6.854679422221459,20000331,106834,116446,ALABAMA,7982.0,MERCHANTS BANK,HANCEVILLE,"201 COMMERCIAL ST, S.E.",20220105,46,19070101,108464,46_20000331
35565,NM,8.301197414718814,20000331,249666,296138,ALABAMA,24583.0,TRADERS&FARMERS BANK,HALEYVILLE,20TH ST.,20200701,47,19060106,271555,47_20000331
36401,NM,7.2208307735929305,20000331,17681,21161,ALABAMA,1528.0,BANK OF EVERGREEN,EVERGREEN,146 W. FRONT ST.,99991231,49,19320901,19633,49_20000331
35582,NM,5.136585833413208,20000331,95680,104330,ALABAMA,5359.0,COMMUNITY SPIRIT BANK,RED BAY,MAIN ST.,99991231,50,19080317,98971,50_20000331
35592,NM,9.922120221162812,20000331,64091,76143,ALABAMA,7555.0,BANK OF VERNON,VERNON,44825 HWY. 17,99991231,51,19111111,68588,51_20000331
35594,NM,11.504889863815007,20000331,90663,131292,ALABAMA,15105.0,CITIZENS BANK OF WINFIELD,WINFIELD,108-110 E. 1ST AVE.,99991231,52,19200522,116187,52_20000331
36319,NM,7.940068481853628,20000331,123908,151573,ALABAMA,12035.0,PEOPLES COMMUNITY BANK,COLUMBIA,109 E. CHURCH ST.,20050413,53,19121021,139538,53_20000331
35952,NM,9.482045686725552,20000331,111755,143893,ALABAMA,13644.0,EXCHANGE BANK OF ALABAMA,ALTOONA,SIXTH &BLOUNT ST.,99991231,54,19090310,130249,54_20000331
35031,NM,6.905926347968684,20000331,595839,691522,ALABAMA,47756.0,COMMUNITY BANK,BLOUNTSVILLE,MAIN &COLLEGE ST.,20061107,57,19230723,643766,57_20000331
36502,NM,8.02213385980035,20000331,176702,215778,ALABAMA,17310.0,UNITED BANK,ATMORE,200 E. NASHVILLE AVE.,99991231,58,19040104,198468,58_20000331
36340,NM,14.496022794728718,20000331,76783,92653,ALABAMA,13431.0,CITIZENS BANK,GENEVA,515 COMMERCE ST.,20130101,59,19010101,79222,59_20000331
36426,N,12.66764794616981,20000331,93965,109381,ALABAMA,13856.0,FIRST NATIONAL BANK,BREWTON,227 BELLEVILLE AVE.,20031101,60,19120205,95525,60_20000331
35580,NM,16.132358455193103,20000331,17815,21336,ALABAMA,3442.0,BANK OF PARRISH,PARRISH,FIRST AVE. &MAIN ST.,20020509,63,19190519,17894,63_20000331
36750,NM,12.096873587773715,20000331,42161,48682,ALABAMA,5889.0,PEACHTREE BANK,MAPLESVILLE,MAIN ST.,20140228,68,19190919,42793,68_20000331
36425,NM,12.963314358001266,20000331,27358,31620,ALABAMA,4099.0,PEOPLES EXC BK MONROE CNTY,BEATRICE,SOUTH MOORE &MAIN ST.,99991231,70,19070823,27521,70_20000331
35040,SM,11.05722410502123,20000331,86686,102684,ALABAMA,11354.0,CENTRAL STATE BANK,CALERA,HIGHWAY 25,99991231,72,19160205,91330,72_20000331
36303,NM,10.500839775086325,20000331,130214,191718,ALABAMA,20132.0,BANKSOUTH,DOTHAN,3251 ROSS CLARK CIRCLE,99991231,77,19280101,171586,77_20000331
71671,NM,13.89351803631566,20000331,97821,115212,ARKANSAS,16007.0,WARREN BANK&TRUST CO,WARREN,201 S. MAIN ST.,99991231,81,19011231,99205,81_20000331
72742,NM,5.43189452047927,20000331,35987,39894,ARKANSAS,2167.0,MADISON BANK&TRUST,KINGSTON,101 PUBLIC SQ.,20030930,85,19110407,37727,85_20000331
72365,NM,9.516341509315602,20000331,28612,31882,ARKANSAS,3034.0,MARKED TREE BANK,MARKED TREE,210 FRISCO ST.,20030430,86,19320310,28848,86_20000331
71744,NM,11.349330304321075,20000331,34274,42258,ARKANSAS,4796.0,CALHOUN COUNTY BANK,HAMPTON,200 MAIN ST.,99991231,88,19071008,37462,88_20000331
71701,NM,8.515294343978454,20000331,71176,83168,ARKANSAS,7082.0,FIRST BANK OF SOUTH ARKANSAS,CAMDEN,1325 HWY. 4,99991231,89,19330818,76086,89_20000331
71655,NM,8.4084009562333,20000331,108249,120891,ARKANSAS,10165.0,COMMERCIAL BANK&TRUST CO,MONTICELLO,212 W. GAINES ST.,99991231,90,19130101,110726,90_20000331
72947,SM,7.382823634808812,20000331,39566,49114,ARKANSAS,3626.0,BANK OF MULBERRY,MULBERRY,311 MAIN ST.,20160923,91,19020304,45488,91_20000331
71661,NM,16.044339056652287,20000331,56718,70006,ARKANSAS,11232.0,DELTA TRUST&BANK,PARKDALE,1853 HWY. 165 S.,20141025,92,19100201,58774,92_20000331
71763,NM,7.630614115490377,20000331,25242,30548,ARKANSAS,2331.0,MERCHANTS&PLANTERS BANK,SPARKMAN,COMMERCE &MAIN ST.,99991231,93,19160101,28217,93_20000331
72712,SM,7.0364345410924996,20000331,556097,634398,ARKANSAS,44639.0,BANK OF BENTONVILLE,BENTONVILLE,201 N.E. A ST.,20020307,100,19310225,589759,100_20000331
71857,NM,9.911100781499666,20000331,61546,68842,ARKANSAS,6823.0,BANK OF PRESCOTT,PRESCOTT,EAST 2ND &MAIN ST.,20191109,101,19040810,62019,101_20000331
72521,NM,9.195170657530733,20000331,45961,54583,ARKANSAS,5019.0,BANK OF CAVE CITY,CAVE CITY,MAIN ST.,99991231,105,19060701,49564,105_20000331
72029,NM,10.692875049958218,20000331,24433,27523,ARKANSAS,2943.0,MERCHANTS&PLANTERS BANK,CLARENDON,297 MADISON ST.,99991231,107,18900101,24580,107_20000331
72727,NM,9.521209743003544,20000331,125840,175839,ARKANSAS,16742.0,COMMUNITY BANK OF NORTH AR,ELKINS,MAIN ST.,20081124,108,19120601,159097,108_20000331
71842,NM,9.927656236381068,20000331,51384,57365,ARKANSAS,5695.0,HORATIO STATE BANK,HORATIO,PRIDE &MAIN,99991231,109,19050505,51670,109_20000331
72211,NM,7.27970333696939,20000331,612649,816819,ARKANSAS,59462.0,BANK OF THE OZARKS,LITTLE ROCK,12615 CHENAL PKWY.,99991231,110,19030303,757357,110_20000331
34995,N,6.814428290540121,20000331,949392,1112287,FLORIDA,75796.0,FIRST NB&T CO TREASURE COAST,STUART,815 COLORADO AVE.,99991231,131,19330101,1036491,131_20000331
32696,NM,8.358482073682735,20000331,117197,135527,FLORIDA,11328.0,PERKINS STATE BANK,WILLISTON,342 E. NOBLE AVE.,20130118,134,19130801,124199,134_20000331
31061,NM,10.260670798716427,20000331,101389,113745,GEORGIA,11671.0,CENTURY BANK&TRUST,MILLEDGEVILLE,141 S. WAYNE ST.,99991231,147,18980101,102074,147_20000331
30650,NM,10.013375617543632,20000331,79286,92706,GEORGIA,9283.0,BANK OF MADISON,MADISON,105 N. MAIN ST.,99991231,148,18900101,83423,148_20000331
31539,NM,7.682918199830173,20000331,51453,56528,GEORGIA,4343.0,BANK OF HAZLEHURST,HAZLEHURST,SOUTH TALLAHASSEE ST.,99991231,149,19060101,52185,149_20000331
30523,NM,6.729285575180141,20000331,326786,467271,GEORGIA,31444.0,HABERSHAM BANK,CLARKESVILLE,201 N. WASHINGTON ST.,20110218,151,19040513,435827,151_20000331
31622,NM,13.613654438304208,20000331,41961,49039,GEORGIA,6676.0,BANK OF ALAPAHA,ALAPAHA,245 NE RAILROAD ST.,99991231,155,19050325,42363,155_20000331
31029,NM,8.04615520907158,20000331,41373,45152,GEORGIA,3633.0,MONROE COUNTY BANK,FORSYTH,1 E. MAIN ST.,20140731,156,19081015,41519,156_20000331
31639,NM,8.124866974104291,20000331,60302,70475,GEORGIA,5726.0,UNITED BANKING CO,NASHVILLE,202 W. WASHINGTON AVE.,20030627,158,19240715,64749,158_20000331
31791,NM,13.317507164549383,20000331,40276,46758,GEORGIA,6227.0,SYLVESTER BANKING CO,SYLVESTER,300 N. MAIN ST.,20040228,159,18980101,40531,159_20000331
31061,NM,11.056222265754755,20000331,101211,117409,GEORGIA,12981.0,EXCHANGE BANK,MILLEDGEVILLE,250 W. HANCOCK ST.,99991231,160,19030601,104428,160_20000331
30213,SB,7.615901908133926,20000331,110366,126249,GEORGIA,9615.0,FAIRBURN BANKING CO,FAIRBURN,65 WASHINGTON ST.,20040601,161,19020101,116634,161_20000331
30224,N,10.128122145254064,20000331,182133,217839,GEORGIA,22063.0,FIRST NB OF GRIFFIN,GRIFFIN,318 S. HILL ST.,99991231,169,19330512,195776,169_20000331
31827,NM,12.252544807344034,20000331,13987,16013,GEORGIA,1962.0,PEOPLES BANK OF TALBOTTON,TALBOTTON,26 W. MONROE ST.,99991231,170,18910101,14051,170_20000331
30295,NM,9.545184874976007,20000331,400227,458472,GEORGIA,43762.0,UNITED BANK,ZEBULON,400 GRIFFIN ST.,99991231,172,19050131,414710,172_20000331
30058,NM,6.897401553710153,20000331,86479,93325,GEORGIA,6437.0,PEOPLES BANK,LITHONIA,3065 STONE MOUNTAIN ST.,20150206,173,19100101,86888,173_20000331
30630,NM,12.185917491855628,20000331,54200,62006,GEORGIA,7556.0,COMMERCIAL BANK,CRAWFORD,MAIN ST.,99991231,175,19240905,54450,175_20000331
31836,NM,5.7956334055385,20000331,53180,64169,GEORGIA,3719.0,TALBOT STATE BANK,WOODLAND,MAIN ST.,99991231,178,19071125,60450,178_20000331
30680,NM,10.561438170798217,20000331,166936,194358,GEORGIA,20527.0,PEOPLES BANK,WINDER,71 N. BROAD ST.,20100917,182,19261030,173831,182_20000331
31055,NM,16.29664292275429,20000331,48004,57699,GEORGIA,9403.0,MERCHANTS&CITIZENS BANK,MCRAE,200 COLLEGE ST.,99991231,183,19290223,48296,183_20000331
31092,NM,8.512417122251948,20000331,239694,275104,GEORGIA,23418.0,CITIZENS BANK,VIENNA,UNION &3RD ST.,20061209,186,19310701,251686,186_20000331
31015,NM,9.149335070465053,20000331,107725,125878,GEORGIA,11517.0,PLANTERSFIRST,CORDELE,1620 E. SIXTEENTH AVE.,20000824,189,19270615,114361,189_20000331
31792,NM,7.636403463833606,20000331,248656,283039,GEORGIA,21614.0,COMMERCIAL BANK,THOMASVILLE,101 S. CRAWFORD ST.,20100601,190,19160722,261425,190_20000331
31833,N,9.27988990194392,20000331,105496,145325,GEORGIA,13486.0,FIRST NB OF WEST POINT,WEST POINT,3RD AVE. &W. 10TH ST.,20010303,192,19060113,131839,192_20000331
31313,NM,10.711071107110712,20000331,179557,212201,GEORGIA,22729.0,HERITAGE BANK,HINESVILLE,300 S. MAIN ST.,20190901,193,19111115,189472,193_20000331
46928,NM,10.818511675533692,20000331,39778,44923,INDIANA,4860.0,CITIZENS EXCHANGE BANK,FAIRMOUNT,102 S. MAIN ST.,20160401,195,18930715,40063,195_20000331
47946,NM,7.912997198316981,20000331,80382,99583,INDIANA,7880.0,PEOPLES STB OF FRANCESVILLE,FRANCESVILLE,101 W MONTGOMERY ST.,99991231,197,19300703,91703,197_20000331
47356,NM,10.220199286505105,20000331,72250,81290,INDIANA,8308.0,FIRST UNITED BANK,MIDDLETOWN,790 MILL ST.,20060101,202,18820518,72982,202_20000331
47454,NM,17.592174023109052,20000331,71749,110606,INDIANA,19458.0,ORANGE COUNTY BANK,PAOLI,MAIN ST.,20010308,204,18860327,91148,204_20000331
46172,NM,10.885949171639611,20000331,103103,119815,INDIANA,13043.0,TRI-COUNTY BANK&TRUST CO,ROACHDALE,MAIN ST.,99991231,210,18921007,106772,210_20000331
51534,NM,7.661993863185128,20000331,27745,33242,IOWA,2547.0,MILLS COUNTY STATE BANK,GLENWOOD,102 S. LOCUST ST.,20080209,212,18830101,30695,212_20000331
52162,NM,11.461952579130235,20000331,45828,52382,IOWA,6004.0,POSTVILLE STATE BANK,POSTVILLE,135 W. TILDEN,20060331,213,18721025,46378,213_20000331
52353,SM,11.463351620796036,20000331,109723,131602,IOWA,15086.0,WASHINGTON STATE BANK,WASHINGTON,MAIN ST.,99991231,214,19320418,116516,214_20000331
50235,NM,13.092435655994977,20000331,21940,25488,IOWA,3337.0,RIPPEY SAVINGS BANK,RIPPEY,MAIN ST.,20010518,215,19050301,22151,215_20000331
51351,SM,6.776454879270057,20000331,31234,35948,IOWA,2436.0,SECURITY STATE BANK,MILFORD,1905 OKOBOJI AVE.,20020531,218,19330511,33512,218_20000331
52728,NM,11.44313118646781,20000331,32930,37481,IOWA,4289.0,BUFFALO SAVINGS BANK,BUFFALO,120 WASHINGTON ST.,20140915,219,19090401,33192,219_20000331
50003,NM,7.310997183912196,20000331,46108,55396,IOWA,4050.0,RACCOON VALLEY STATE BANK,ADEL,1009 COURT ST.,20031027,222,19141005,51346,222_20000331
50563,NM,9.250912212921229,20000331,16784,18636,IOWA,1724.0,MANSON STATE BANK,MANSON,MAIN ST.,20220514,223,19330101,16912,223_20000331
52621,NM,8.656740060193252,20000331,11158,12626,IOWA,1093.0,PEOPLES SAVINGS BANK,CRAWFORDSVILLE,100 S. MAIN,20220912,225,19121017,11533,225_20000331
50216,NM,7.326364440592897,20000331,50707,55389,IOWA,4058.0,GUTHRIE COUNTY STATE BANK,PANORA,505 E. MAIN ST.,99991231,226,19311017,51331,226_20000331
51023,NM,7.3529054070488655,20000331,34719,41113,IOWA,3023.0,FARMERS STATE BANK,HAWARDEN,801 CENTRAL ST.,20080110,227,19170630,38090,227_20000331
51250,NM,7.236547852676738,20000331,193052,219110,IOWA,15856.0,AMERICAN STATE BANK,SIOUX CENTER,525 N. MAIN ST.,99991231,228,19130901,203254,228_20000331
51301,NM,6.380304598550938,20000331,50015,54104,IOWA,3452.0,COMMUNITY STATE BANK,SPENCER,1812 HWY. BLVD.,99991231,230,19140101,50652,230_20000331
51401,NM,10.731417298363668,20000331,64898,74007,IOWA,7942.0,COMMERCIAL SAVINGS BANK,CARROLL,627 N. ADAMS ST.,99991231,231,19170101,66065,231_20000331
52333,NM,14.047651142414235,20000331,42068,59348,IOWA,8337.0,SOLON STATE BANK,SOLON,106 S. MARKET ST.,99991231,232,19320317,51011,232_20000331
50574,NM,11.037773852685074,20000331,28090,32271,IOWA,3562.0,POCAHONTAS STATE BANK,POCAHONTAS,223 N. MAIN ST.,99991231,234,19260701,28709,234_20000331
51046,NM,8.047470759875438,20000331,36004,40783,IOWA,3282.0,SECURITY STATE BANK,PAULLINA,128 N. MAIN ST.,99991231,235,19310101,37501,235_20000331
51034,NM,10.460564942266293,20000331,26230,30658,IOWA,3207.0,FIRST STATE BANK OF MAPLETON,MAPLETON,402 MAIN ST.,20120423,236,18890101,27451,236_20000331
51467,NM,11.12626381377851,20000331,17736,21265,IOWA,2366.0,WEST SIDE STATE SAVINGS BANK,WESTSIDE,MAIN ST.,20050331,238,19230718,18899,238_20000331
51455,NM,8.199768176186097,20000331,45078,50038,IOWA,4103.0,AMERICAN INTERSTATE BANK,MANNING,223 MAIN ST.,20040403,239,19240101,45935,239_20000331
52069,NM,8.25878815664616,20000331,83775,93791,IOWA,7746.0,COMMUNITY BANK,PRESTON,MAIN ST.,20011101,241,19140101,86045,241_20000331
52175,NM,8.009235722758854,20000331,38546,47208,IOWA,3781.0,FARMERS SAVINGS BANK,WEST UNION,205 N. VINE ST.,20030808,243,19130705,43427,243_20000331
50220,NM,8.200922603792925,20000331,72882,83893,IOWA,6880.0,PERRY STATE BANK,PERRY,MAIN ST.,99991231,245,19270101,77013,245_20000331
