ZIP,BKCLASS,EQR,REPDTE,DEPDOM,ASSET,STNAME,EQ,NAME,CITY,ADDRESS,ENDEFYMD,CERT,ESTYMD,LIAB,ID
2111,SM,11.637802760097186,20190331,102370000,225137000,MASSACHUSETTS,26201000.0,STATE STREET BANK&TRUST CO,BOSTON,1 LINCOLN ST. FL 1,99991231,14,17920101,198936000,14_20190331
36830,SM,10.636955160230821,20190331,742371,836668,ALABAMA,88996.0,AUBURNBANK,AUBURN,100 N. GAY ST.,99991231,35,19070103,747672,35_20190331
36732,NM,10.232708407175412,20190331,274162,318811,ALABAMA,32623.0,ROBERTSON BANKING CO,DEMOPOLIS,216 N. WALNUT AVE.,99991231,39,18700101,286188,39_20190331
36867,NM,15.03796719718652,20190331,150696,189374,ALABAMA,28478.0,PHENIX-GIRARD BANK,PHENIX CITY,801 13TH ST.,99991231,41,19040504,160896,41_20190331
35055,NM,9.812572667728197,20190331,263064,293287,ALABAMA,28779.0,MERCHANTS BANK OF ALABAMA,CULLMAN,900 2ND AVE SW,20220105,46,19070101,264507,46_20190331
35565,NM,14.857318676098686,20190331,294997,370511,ALABAMA,55048.0,TRADERS&FARMERS BANK,HALEYVILLE,819 20TH ST,20200701,47,19060106,315463,47_20190331
36401,NM,13.351471010696722,20190331,51126,59177,ALABAMA,7901.0,BANK OF EVERGREEN,EVERGREEN,146 W. FRONT ST.,99991231,49,19320901,51276,49_20190331
35582,NM,10.831562582738746,20190331,126280,147301,ALABAMA,15955.0,COMMUNITY SPIRIT BANK,RED BAY,200 4TH AVE. SW,99991231,50,19080317,131346,50_20190331
35592,NM,16.367107138480986,20190331,128880,155061,ALABAMA,25379.0,BANK OF VERNON,VERNON,44825 HWY. 17,99991231,51,19111111,129682,51_20190331
35594,NM,22.466987662995187,20190331,142919,241955,ALABAMA,54360.0,CITIZENS BANK OF WINFIELD,WINFIELD,236 BANKHEAD HWY.,99991231,52,19200522,187595,52_20190331
35952,NM,13.772408692283308,20190331,242034,283930,ALABAMA,39104.0,EXCHANGE BANK OF ALABAMA,ALTOONA,SIXTH &BLOUNT ST.,99991231,54,19090310,244826,54_20190331
36502,NM,8.838053263595457,20190331,608187,670702,ALABAMA,59277.0,UNITED BANK,ATMORE,200 E. NASHVILLE AVE.,99991231,58,19040104,611425,58_20190331
36460,NM,14.534418948926723,20190331,57600,67550,ALABAMA,9818.0,PEOPLES EXCHANGE BANK,MONROEVILLE,2013 HWY. 21 BYPASS,99991231,70,19070823,57732,70_20190331
35040,SM,10.586649522797929,20190331,284355,321981,ALABAMA,34087.0,CENTRAL STATE BANK,CALERA,11025 HWY 25,99991231,72,19160205,287894,72_20190331
36303,NM,19.97866986618674,20190331,143636,180027,ALABAMA,35967.0,BANKSOUTH,DOTHAN,3251 ROSS CLARK CIRCLE,99991231,77,19280101,144060,77_20190331
71671,SM,16.893120956644154,20190331,101056,126442,ARKANSAS,21360.0,WARREN BANK&TRUST CO,WARREN,201 S. MAIN ST.,99991231,81,19011231,105082,81_20190331
72758,NM,8.91472082527877,20190331,442057,542653,ARKANSAS,48376.0,GENERATIONS BANK,ROGERS,"3710 SOUTHERN HILLS BLVD, #",99991231,88,19071008,494277,88_20190331
72703,NM,11.265248581374868,20190331,537962,648339,ARKANSAS,73037.0,SIGNATURE BANK OF ARKANSAS,FAYETTEVILLE,"3878 N. CROSSOVER RD, # 20",99991231,89,19330818,575302,89_20190331
71655,SM,9.229664980796288,20190331,177658,210376,ARKANSAS,19417.0,COMMERCIAL BANK&TRUST CO,MONTICELLO,212 W. GAINES ST.,99991231,90,19130101,190959,90_20190331
71763,NM,8.395758810413692,20190331,51978,62341,ARKANSAS,5234.0,RIVERSIDE BANK,SPARKMAN,103 W MAIN ST,99991231,93,19160101,57107,93_20190331
71671,SM,10.806098601476426,20190331,95869,107828,ARKANSAS,11652.0,FIRST STATE BANK OF WARREN,WARREN,104 S MAIN ST.,99991231,94,18900101,96176,94_20190331
71940,NM,13.245261258022722,20190331,105160,133527,ARKANSAS,17686.0,BANK OF DELIGHT,DELIGHT,503 E ANTIOCH ST,99991231,99,19110616,115841,99_20190331
71857,NM,14.693143985150703,20190331,57646,67882,ARKANSAS,9974.0,BANK OF PRESCOTT,PRESCOTT,EAST 2ND &MAIN ST.,20191109,101,19040810,57908,101_20190331
72521,SM,9.036742800397219,20190331,93347,115805,ARKANSAS,10465.0,BANK OF CAVE CITY,CAVE CITY,137 S MAIN ST.,99991231,105,19060701,105339,105_20190331
72029,NM,12.165366111916764,20190331,38099,43443,ARKANSAS,5285.0,MERCHANTS&PLANTERS BANK,CLARENDON,297 MADISON ST.,99991231,107,18900101,38157,107_20190331
71842,NM,11.541292230957103,20190331,188189,213321,ARKANSAS,24620.0,HORATIO STATE BANK,HORATIO,PRIDE &MAIN,99991231,109,19050505,188701,109_20190331
72223,NM,16.876909204746728,20190331,18476868,23005652,ARKANSAS,3882643.0,BANK OZK,LITTLE ROCK,17901 CHENAL PKWY.,99991231,110,19030303,19119888,110_20190331
34994,N,13.655983088675368,20190331,5606624,6783620,FLORIDA,926370.0,SEACOAST NATIONAL BANK,STUART,815 COLORADO AVE.,99991231,131,19330101,5857250,131_20190331
31061,NM,9.591039253168736,20190331,231583,260514,GEORGIA,24986.0,CENTURY BANK&TRUST,MILLEDGEVILLE,141 S WAYNE ST,99991231,147,18980101,235528,147_20190331
