ZIP,BKCLASS,EQR,REPDTE,DEPDOM,ASSET,STNAME,EQ,NAME,CITY,ADDRESS,ENDEFYMD,CERT,ESTYMD,LIAB,ID
2111,SM,7.026218879366175,20150630,121975983,289425299,MASSACHUSETTS,20335655.0,STATE STREET BANK&TRUST CO,BOSTON,1 LINCOLN ST. FL 1,99991231,14,17920101,268859644,14_20150630
36830,SM,10.242087968458433,20150630,718203,807062,ALABAMA,82660.0,AUBURNBANK,AUBURN,100 N. GAY ST.,99991231,35,19070103,724402,35_20150630
36732,NM,10.823361111741866,20150630,227760,264234,ALABAMA,28599.0,ROBERTSON BANKING CO,DEMOPOLIS,216 N. WALNUT AVE.,99991231,39,18700101,235635,39_20150630
36867,NM,14.282380263891891,20150630,133262,175678,ALABAMA,25091.0,PHENIX-GIRARD BANK,PHENIX CITY,801 13TH ST.,99991231,41,19040504,150587,41_20150630
35055,NM,9.363848661646717,20150630,233741,259498,ALABAMA,24299.0,MERCHANTS BANK OF ALABAMA,CULLMAN,900 2ND AVE SW,20220105,46,19070101,235199,46_20150630
35565,NM,13.81481318633001,20150630,284604,363892,ALABAMA,50271.0,TRADERS&FARMERS BANK,HALEYVILLE,819 20TH ST,20200701,47,19060106,313621,47_20150630
36401,NM,10.452863930431123,20150630,50921,57037,ALABAMA,5962.0,BANK OF EVERGREEN,EVERGREEN,146 W. FRONT ST.,99991231,49,19320901,51075,49_20150630
35582,NM,10.289007297579058,20150630,120392,138128,ALABAMA,14212.0,COMMUNITY SPIRIT BANK,RED BAY,200 4TH AVE. SW,99991231,50,19080317,123917,50_20150630
35592,NM,15.399872395905573,20150630,120818,144196,ALABAMA,22206.0,BANK OF VERNON,VERNON,44825 HWY. 17,99991231,51,19111111,121990,51_20150630
35594,NM,22.621810304483546,20150630,137851,207269,ALABAMA,46888.0,CITIZENS BANK OF WINFIELD,WINFIELD,236 BANKHEAD HWY.,99991231,52,19200522,160381,52_20150630
35952,NM,12.01582368772122,20150630,225145,259358,ALABAMA,31164.0,EXCHANGE BANK OF ALABAMA,ALTOONA,SIXTH &BLOUNT ST.,99991231,54,19090310,228194,54_20150630
36502,NM,9.865464780014122,20150630,462998,516965,ALABAMA,51001.0,UNITED BANK,ATMORE,200 E. NASHVILLE AVE.,99991231,58,19040104,465964,58_20150630
36460,NM,15.140334916944642,20150630,50285,59358,ALABAMA,8987.0,PEOPLES EXC BK MONROE CNTY,MONROEVILLE,2013 HWY. 21 BYPASS,99991231,70,19070823,50371,70_20150630
35040,SM,11.98723404255319,20150630,183002,211500,ALABAMA,25353.0,CENTRAL STATE BANK,CALERA,11025 HWY 25,99991231,72,19160205,186147,72_20150630
36303,NM,20.521711580096106,20150630,134965,170439,ALABAMA,34977.0,BANKSOUTH,DOTHAN,3251 ROSS CLARK CIRCLE,99991231,77,19280101,135462,77_20150630
