ZIP,BKCLASS,EQR,REPDTE,DEPDOM,ASSET,STNAME,EQ,NAME,CITY,ADDRESS,ENDEFYMD,CERT,ESTYMD,LIAB,ID
2110,SM,5.309433869152077,19930930,6784488,19412597,MASSACHUSETTS,1030699,STATE STREET BANK&TRUST CO,BOSTON,225 FRANKLIN ST.,99991231,14,17920101,18381898,14_19930930
1970,NM,91.0585141354372,19930930,100,4563,MASSACHUSETTS,4155,EASTERN BANK&TRUST CO,SALEM,217 ESSEX ST.,20021122,28,18030101,408,28_19930930
72712,NM,9.696173512100254,19930930,318594,388215,ARKANSAS,37642,BANK OF BENTONVILLE,BENTONVILLE,201 N.E. A ST.,20020307,100,19310225,350573,100_19930930
71857,NM,8.268407384010668,19930930,51384,56988,ARKANSAS,4712,BANK OF PRESCOTT,PRESCOTT,EAST 2ND &MAIN ST.,20191109,101,19040810,52276,101_19930930
72450,NM,7.7245352186436245,19930930,95342,106932,ARKANSAS,8260,SECURITY BANK,PARAGOULD,COURT &PRUETT ST.,19960201,102,19310205,98672,102_19930930
72941,SM,9.281400597816141,19930930,58339,65572,ARKANSAS,6086,RIVER VALLEY BANK&TRUST,LAVACA,MAIN &PHILLIPS ST.,19990604,103,19100505,59486,103_19930930
72921,NM,8.781953405900605,19930930,36343,40606,ARKANSAS,3566,COMMERCIAL BANK AT ALMA,ALMA,US. HWY. 64 &71,19991022,104,19090101,37040,104_19930930
72521,NM,8.040442946557535,19930930,30621,39463,ARKANSAS,3173,BANK OF CAVE CITY,CAVE CITY,MAIN ST.,99991231,105,19060701,36290,105_19930930
72029,NM,9.75609756097561,19930930,21734,24231,ARKANSAS,2364,MERCHANTS&PLANTERS BANK,CLARENDON,297 MADISON ST.,99991231,107,18900101,21867,107_19930930
72727,NM,8.766843828850593,19930930,32783,37254,ARKANSAS,3266,BANK OF ELKINS,ELKINS,MAIN ST.,20081124,108,19120601,33988,108_19930930
71842,NM,9.766416398522226,19930930,30136,33564,ARKANSAS,3278,HORATIO STATE BANK,HORATIO,PRIDE &MAIN,99991231,109,19050505,30286,109_19930930
72641,NM,7.7128476570807445,19930930,38877,42319,ARKANSAS,3264,NEWTON COUNTY BANK,JASPER,STONE &CHURCH ST.,99991231,110,19030303,39055,110_19930930
90406,NM,8.288937413185018,19930930,638083,699764,CALIFORNIA,58003,SANTA MONICA BANK,SANTA MONICA,1251 4TH ST.,19980127,114,19280203,641761,114_19930930
32340,NM,6.890991803750696,19930930,48160,52097,FLORIDA,3590,BANK OF MADISON COUNTY,MADISON,314 S.W. HORRY ST.,19951229,127,19050805,48507,127_19930930
33802,NM,13.414900710301112,19930930,454919,544417,FLORIDA,73033,PEOPLES BANK OF LAKELAND,LAKELAND,115 S. MISSOURI AVE.,19960123,130,19310219,471384,130_19930930
33495,N,8.423387278859815,19930930,518185,575766,FLORIDA,48499,FIRST NB&T CO TREASURE COAST,STUART,815 COLORADO AVE.,99991231,131,19330101,527267,131_19930930
33601,SM,7.67419493035172,19930930,1619080,1886048,FLORIDA,144739,SUN BANK OF TAMPA BAY,TAMPA,MADISON &FRANKLIN ST.,20000101,132,19140701,1741309,132_19930930
32696,NM,10.349657408926296,19930930,70658,79249,FLORIDA,8202,PERKINS STATE BANK,WILLISTON,301 E. NOBLE AVE.,20130118,134,19130801,71047,134_19930930
32536,SM,10.576355797594736,19930930,39006,44070,FLORIDA,4661,FIRST BANK OF CRESTVIEW,CRESTVIEW,361 N. MAIN,19950922,138,19180101,39409,138_19930930
32595,SM,8.06160944431032,19930930,338467,410067,FLORIDA,33058,BARNETT BANK OF WEST FLORIDA,PENSACOLA,100 W. GARDEN ST.,19960629,144,19140703,377009,144_19930930
33512,NM,7.910901020983056,19930930,571756,654957,FLORIDA,51813,SUN BANK&TRUST CO,BROOKSVILLE,1 E. JEFFERSON ST.,19950512,145,19050608,603144,145_19930930
32501,NM,8.566296530747028,19930930,389323,437587,FLORIDA,37485,SUN BANK WEST FLORIDA,PENSACOLA,220 W. GARDEN ST.,20000101,146,19321231,400102,146_19930930
31061,NM,11.447172809760598,19930930,85769,97535,GEORGIA,11165,CENTURY BANK&TRUST,MILLEDGEVILLE,141 S. WAYNE ST.,99991231,147,18980101,86370,147_19930930
30650,NM,9.784501277615721,19930930,39433,44223,GEORGIA,4327,BANK OF MADISON,MADISON,105 N. MAIN ST.,99991231,148,18900101,39896,148_19930930
31539,NM,9.80203831172296,19930930,32013,37482,GEORGIA,3674,BANK OF HAZLEHURST,HAZLEHURST,SOUTH TALLAHASSEE ST.,99991231,149,19060101,33808,149_19930930
30523,NM,9.058057676270758,19930930,135687,154691,GEORGIA,14012,HABERSHAM BANK,CLARKESVILLE,201 N. WASHINGTON ST.,20110218,151,19040513,140679,151_19930930
31533,NM,11.486551904420734,19930930,44409,51643,GEORGIA,5932,COFFEE COUNTY BANK,DOUGLAS,102 N. PETERSON AVE.,19980619,152,19310701,45711,152_19930930
30107,NM,7.773616421552636,19930930,69475,76631,GEORGIA,5957,CITIZENS BANK,BALL GROUND,STATE HWY. 5 &CARTERSVILLE S,19960524,153,19261001,70674,153_19930930
31622,NM,10.932353341499931,19930930,32549,36735,GEORGIA,4016,BANK OF ALAPAHA,ALAPAHA,245 NE RAILROAD ST.,99991231,155,19050325,32719,155_19930930
31029,NM,12.851566102111702,19930930,28054,32533,GEORGIA,4181,MONROE COUNTY BANK,FORSYTH,1 E. MAIN ST.,20140731,156,19081015,28352,156_19930930
31060,NM,9.520400858983537,19930930,15001,16764,GEORGIA,1596,BANK OF MILAN,MILAN,MOUNT ZION ST.,19990101,157,19061201,15168,157_19930930
31639,NM,8.561703109675186,19930930,28460,34666,GEORGIA,2968,UNITED BANKING CO,NASHVILLE,202 W. WASHINGTON AVE.,20030627,158,19240715,31698,158_19930930
31791,NM,10.116930515842574,19930930,38481,43017,GEORGIA,4352,SYLVESTER BANKING CO,SYLVESTER,300 N. MAIN ST.,20040228,159,18980101,38665,159_19930930
31061,NM,10.845336978235727,19930930,83568,95110,GEORGIA,10315,EXCHANGE BANK,MILLEDGEVILLE,250 W. HANCOCK ST.,99991231,160,19030601,84795,160_19930930
30213,NM,7.507067923824284,19930930,63661,69681,GEORGIA,5231,FAIRBURN BANKING CO,FAIRBURN,65 WASHINGTON ST.,20040601,161,19020101,64450,161_19930930
30824,NM,9.082378073203762,19930930,221011,262145,GEORGIA,23809,ALLIED BANK OF GEORGIA,THOMSON,204 MAIN ST.,19980323,163,18910101,238336,163_19930930
30501,NM,7.849778353339643,19930930,91801,100385,GEORGIA,7880,CITIZENS BANK,GAINESVILLE,402 WASHINGTON ST.,19940722,166,19130602,92505,166_19930930
30650,NM,11.847400478572983,19930930,27990,36776,GEORGIA,4357,BANK OF MORGAN COUNTY,MADISON,1460 EATONTON RD.,19980206,168,18980101,32419,168_19930930
30224,N,9.206005719063311,19930930,127016,142331,GEORGIA,13103,FIRST NB OF GRIFFIN,GRIFFIN,318-328 S. HILL ST.,99991231,169,19330512,129228,169_19930930
31827,NM,9.285870595958858,19930930,12373,13709,GEORGIA,1273,PEOPLES BANK OF TALBOTTON,TALBOTTON,26 W. MONROE ST.,99991231,170,18910101,12436,170_19930930
30295,NM,10.94482062149231,19930930,51867,60403,GEORGIA,6611,UNITED BANK OF PIKE,ZEBULON,GRIFFIN ST.,99991231,172,19050131,53792,172_19930930
30058,NM,10.242404254442016,19930930,43374,48514,GEORGIA,4969,PEOPLES BANK,LITHONIA,3065 STONE MOUNTAIN ST.,20150206,173,19100101,43545,173_19930930
30630,NM,12.633538361929428,19930930,32189,37068,GEORGIA,4683,COMMERCIAL BANK,CRAWFORD,MAIN ST.,99991231,175,19240905,32385,175_19930930
31030,N,7.464993257960792,19930930,83316,96410,GEORGIA,7197,FIRST SOUTH BANK NA,FORT VALLEY,110 N. CAMELLIA BLVD.,19960701,176,19241015,89213,176_19930930
31836,NM,7.072285281007307,19930930,18107,21761,GEORGIA,1539,TALBOT STATE BANK,WOODLAND,MAIN ST.,99991231,178,19071125,20222,178_19930930
30680,NM,12.000423706371484,19930930,82517,94405,GEORGIA,11329,PEOPLES BANK,WINDER,BROAD ST.,20100917,182,19261030,83076,182_19930930
31055,NM,17.25172908782461,19930930,31520,38315,GEORGIA,6610,MERCHANTS&CITIZENS BANK,MCRAE,200 COLLEGE ST.,99991231,183,19290223,31705,183_19930930
30180,NM,8.562661991157189,19930930,47385,52472,GEORGIA,4493,BANK OF VILLA RICA,VILLA RICA,US. HWY. 78,19960621,184,18990504,47979,184_19930930
31092,NM,11.420709722310077,19930930,55305,63236,GEORGIA,7222,CITIZENS BANK,VIENNA,UNION &3RD ST.,20061209,186,19310701,56014,186_19930930
