ZIP,BKCLASS,EQR,REPDTE,DEPDOM,ASSET,STNAME,EQ,NAME,CITY,ADDRESS,ENDEFYMD,CERT,ESTYMD,LIAB,ID
2111,SM,8.050003228332283,20090630,20624948,150464685,MASSACHUSETTS,12112412.0,STATE STREET BANK&TRUST CO,BOSTON,1 LINCOLN ST. FL 1,99991231,14,17920101,138352273,14_20090630
36830,SM,7.0063383165701705,20090630,617258,798477,ALABAMA,55944.0,AUBURNBANK,AUBURN,100 N. GAY ST.,99991231,35,19070103,742533,35_20090630
36732,NM,9.462684076592549,20090630,197920,239710,ALABAMA,22683.0,ROBERTSON BANKING CO,DEMOPOLIS,216 N. WALNUT AVE.,99991231,39,18700101,217027,39_20090630
36867,NM,15.140479649791496,20090630,104027,158991,ALABAMA,24072.0,PHENIX-GIRARD BANK,PHENIX CITY,801 13TH ST.,99991231,41,19040504,134919,41_20090630
35055,NM,7.120536594989149,20090630,219754,253450,ALABAMA,18047.0,MERCHANTS BANK OF ALABAMA,CULLMAN,"900 2ND AVE, SW",20220105,46,19070101,235403,46_20090630
35565,NM,11.003742311136815,20090630,286625,356197,ALABAMA,39195.0,TRADERS&FARMERS BANK,HALEYVILLE,819 20TH ST,20200701,47,19060106,317002,47_20090630
36401,NM,6.877495865435036,20090630,44221,49582,ALABAMA,3410.0,BANK OF EVERGREEN,EVERGREEN,146 W. FRONT ST.,99991231,49,19320901,46172,49_20090630
35582,NM,7.537104628760082,20090630,86120,103289,ALABAMA,7785.0,COMMUNITY SPIRIT BANK,RED BAY,200 4TH AVE. SW,99991231,50,19080317,95504,50_20090630
35592,NM,9.524171789097844,20090630,167919,197172,ALABAMA,18779.0,BANK OF VERNON,VERNON,44825 HWY. 17,99991231,51,19111111,178393,51_20090630
35594,NM,16.269238784198148,20090630,125301,201546,ALABAMA,32790.0,CITIZENS BANK OF WINFIELD,WINFIELD,108-110 E. 1ST AVE.,99991231,52,19200522,168756,52_20090630
35952,NM,10.345302859551973,20090630,207015,246682,ALABAMA,25520.0,EXCHANGE BANK OF ALABAMA,ALTOONA,SIXTH &BLOUNT ST.,99991231,54,19090310,221162,54_20090630
36502,NM,9.352477211543004,20090630,474875,529325,ALABAMA,49505.0,UNITED BANK,ATMORE,200 E. NASHVILLE AVE.,99991231,58,19040104,479820,58_20090630
36340,NM,15.346663865599716,20090630,132154,157083,ALABAMA,24107.0,CITIZENS BANK,GENEVA,515 COMMERCE ST.,20130101,59,19010101,132976,59_20090630
36750,NM,12.994704672433663,20090630,55041,68551,ALABAMA,8908.0,PEACHTREE BANK,MAPLESVILLE,9411 AL HWY. 22,20140228,68,19190919,59643,68_20090630
36425,NM,13.8919706004715,20090630,49366,57688,ALABAMA,8014.0,PEOPLES EXC BK MONROE CNTY,BEATRICE,1112 MAIN ST.,99991231,70,19070823,49674,70_20090630
35040,SM,12.45696380446416,20090630,134027,155102,ALABAMA,19321.0,CENTRAL STATE BANK,CALERA,11025 HWY 25,99991231,72,19160205,135781,72_20090630
