ZIP,BKCLASS,EQR,REPDTE,DEPDOM,ASSET,STNAME,EQ,NAME,CITY,ADDRESS,ENDEFYMD,CERT,ESTYMD,LIAB,ID
2111,SM,9.164505020734264,20130930,54272331,212689010,MASSACHUSETTS,19491895.0,STATE STREET BANK&TRUST CO,BOSTON,1 LINCOLN ST. FL 1,99991231,14,17920101,192967115,14_20130930
36830,SM,9.686021620823631,20130930,651707,745115,ALABAMA,72172.0,AUBURNBANK,AUBURN,100 N. GAY ST.,99991231,35,19070103,672943,35_20130930
36732,NM,10.539331919780206,20130930,220238,255149,ALABAMA,26891.0,ROBERTSON BANKING CO,DEMOPOLIS,216 N. WALNUT AVE.,99991231,39,18700101,228258,39_20130930
36867,NM,13.073056217890416,20130930,124545,162724,ALABAMA,21273.0,PHENIX-GIRARD BANK,PHENIX CITY,801 13TH ST.,99991231,41,19040504,141451,41_20130930
35055,NM,8.862893962968093,20130930,222702,245518,ALABAMA,21760.0,MERCHANTS BANK OF ALABAMA,CULLMAN,900 2ND AVE SW,20220105,46,19070101,223758,46_20130930
35565,NM,11.480834557343208,20130930,283379,352666,ALABAMA,40489.0,TRADERS&FARMERS BANK,HALEYVILLE,819 20TH ST,20200701,47,19060106,312177,47_20130930
36401,NM,9.16886291585501,20130930,47273,52362,ALABAMA,4801.0,BANK OF EVERGREEN,EVERGREEN,146 W. FRONT ST.,99991231,49,19320901,47560,49_20130930
35582,NM,9.193346835006679,20130930,122236,139242,ALABAMA,12801.0,COMMUNITY SPIRIT BANK,RED BAY,200 4TH AVE. SW,99991231,50,19080317,126441,50_20130930
35592,NM,14.031628699403697,20130930,123145,145564,ALABAMA,20425.0,BANK OF VERNON,VERNON,44825 HWY. 17,99991231,51,19111111,125139,51_20130930
35594,NM,21.16058394160584,20130930,134603,191800,ALABAMA,40586.0,CITIZENS BANK OF WINFIELD,WINFIELD,236 BANKHEAD HWY.,99991231,52,19200522,151214,52_20130930
35952,NM,10.81776868161088,20130930,217703,248212,ALABAMA,26851.0,EXCHANGE BANK OF ALABAMA,ALTOONA,SIXTH &BLOUNT ST.,99991231,54,19090310,221361,54_20130930
36502,NM,9.80446323975374,20130930,431127,481444,ALABAMA,47203.0,UNITED BANK,ATMORE,200 E. NASHVILLE AVE.,99991231,58,19040104,434241,58_20130930
36750,NM,10.184474885844748,20130930,46723,54750,ALABAMA,5576.0,PEACHTREE BANK,MAPLESVILLE,9411 AL HWY. 22,20140228,68,19190919,49174,68_20130930
36460,NM,12.80506641952425,20130930,56216,64740,ALABAMA,8290.0,PEOPLES EXC BK MONROE CNTY,MONROEVILLE,2013 HWY. 21 BYPASS,99991231,70,19070823,56450,70_20130930
35040,SM,12.113874418243011,20130930,155606,180058,ALABAMA,21812.0,CENTRAL STATE BANK,CALERA,11025 HWY 25,99991231,72,19160205,158246,72_20130930
