ZIP,BKCLASS,EQR,REPDTE,DEPDOM,ASSET,STNAME,EQ,NAME,CITY,ADDRESS,ENDEFYMD,CERT,ESTYMD,LIAB,ID
2110,SM,5.056674221682103,19920331,6187534,15509344,MASSACHUSETTS,784257,STATE STREET BANK&TRUST CO,BOSTON,225 FRANKLIN ST.,99991231,14,17920101,14725087,14_19920331
2722,NM,4.087871559782742,19920331,331692,367673,MASSACHUSETTS,15030,DURFEE ATTLEBORO BANK,FALL RIVER,10 N. MAIN ST.,19921001,20,18870316,352643,20_19920331
1970,NM,89.30008045052293,19920331,100,2486,MASSACHUSETTS,2220,EASTERN BANK&TRUST CO,SALEM,217 ESSEX ST.,20021122,28,18030101,266,28_19920331
72712,NM,9.554494624209395,19920331,275052,310838,ARKANSAS,29699,BANK OF BENTONVILLE,BENTONVILLE,201 N.E. A ST.,20020307,100,19310225,281139,100_19920331
71857,NM,7.490603503297638,19920331,51454,56404,ARKANSAS,4225,BANK OF PRESCOTT,PRESCOTT,EAST 2ND &MAIN ST.,20191109,101,19040810,52179,101_19920331
72450,NM,6.293175363446343,19920331,97922,106687,ARKANSAS,6714,SECURITY BANK,PARAGOULD,COURT &PRUETT ST.,19960201,102,19310205,99973,102_19920331
72941,SM,8.3993778238649,19920331,45873,54004,ARKANSAS,4536,CITIZENS BANK OF LAVACA,LAVACA,MAIN &PHILLIPS ST.,19990604,103,19100505,49468,103_19920331
72921,NM,8.290155440414509,19920331,34016,37635,ARKANSAS,3120,COMMERCIAL BANK AT ALMA,ALMA,US. HWY. 64 &71,19991022,104,19090101,34515,104_19920331
72521,NM,7.782244453309602,19920331,29481,32587,ARKANSAS,2536,BANK OF CAVE CITY,CAVE CITY,MAIN ST.,99991231,105,19060701,30051,105_19920331
72029,NM,8.847612480606792,19920331,21009,23204,ARKANSAS,2053,MERCHANTS&PLANTERS BANK,CLARENDON,297 MADISON ST.,99991231,107,18900101,21151,107_19920331
72727,NM,8.522829006266786,19920331,30494,33510,ARKANSAS,2856,BANK OF ELKINS,ELKINS,MAIN ST.,20081124,108,19120601,30654,108_19920331
71842,NM,8.561527274977568,19920331,29356,32319,ARKANSAS,2767,HORATIO STATE BANK,HORATIO,PRIDE &MAIN,99991231,109,19050505,29552,109_19920331
72641,NM,7.871742268824558,19920331,36033,39483,ARKANSAS,3108,NEWTON COUNTY BANK,JASPER,STONE &CHURCH ST.,99991231,110,19030303,36375,110_19920331
90406,NM,9.663931195794884,19920331,769733,857622,CALIFORNIA,82880,SANTA MONICA BANK,SANTA MONICA,1251 4TH ST.,19980127,114,19280203,774742,114_19920331
32340,NM,6.790847755940159,19920331,44157,47726,FLORIDA,3241,BANK OF MADISON COUNTY,MADISON,314 S.W. HORRY ST.,19951229,127,19050805,44485,127_19920331
33802,NM,10.87627418175855,19920331,496335,573211,FLORIDA,62344,PEOPLES BANK OF LAKELAND,LAKELAND,115 S. MISSOURI AVE.,19960123,130,19310219,510867,130_19920331
33495,N,6.701591446183339,19920331,554404,605110,FLORIDA,40552,FIRST NB&T CO TREASURE COAST,STUART,815 COLORADO AVE.,99991231,131,19330101,564558,131_19920331
33601,SM,6.942928460137832,19920331,1438537,1628938,FLORIDA,113096,SUN BANK OF TAMPA BAY,TAMPA,MADISON &FRANKLIN ST.,20000101,132,19140701,1515842,132_19920331
33602,N,6.90939837566938,19920331,1373368,1543405,FLORIDA,106640,BARNETT BANK OF TAMPA NA,TAMPA,101 E. KENNEDY BLVD.,19930319,133,19260926,1436765,133_19920331
32696,NM,9.625740260786657,19920331,66862,74467,FLORIDA,7168,PERKINS STATE BANK,WILLISTON,301 E. NOBLE AVE.,20130118,134,19130801,67299,134_19920331
32536,SM,10.046225707301726,19920331,36597,41319,FLORIDA,4151,FIRST BANK OF CRESTVIEW,CRESTVIEW,361 N. MAIN,19950922,138,19180101,37168,138_19920331
32595,NM,7.377095392016838,19920331,281960,319272,FLORIDA,23553,BARNETT BANK OF WEST FLORIDA,PENSACOLA,100 W. GARDEN ST.,19960629,144,19140703,295719,144_19920331
33512,NM,7.555735434668123,19920331,562981,615228,FLORIDA,46485,SUN BANK&TRUST CO,BROOKSVILLE,1 E. JEFFERSON ST.,19950512,145,19050608,568743,145_19920331
32401,NM,8.268759520498046,19920331,188044,211386,FLORIDA,17479,SUN COMMERCIAL BANK,PANAMA CITY,638 HARRISON AVE.,20000101,146,19321231,193907,146_19920331
31061,NM,10.93898596390719,19920331,77018,87275,GEORGIA,9547,MERCHANTS&FARMERS BK MILLEDG,MILLEDGEVILLE,141 S. WAYNE ST.,99991231,147,18980101,77728,147_19920331
30650,NM,8.861767668486028,19920331,38395,42689,GEORGIA,3783,BANK OF MADISON,MADISON,105 N. MAIN ST.,99991231,148,18900101,38906,148_19920331
31539,NM,7.24757281553398,19920331,37737,41200,GEORGIA,2986,BANK OF HAZLEHURST,HAZLEHURST,SOUTH TALLAHASSEE ST.,99991231,149,19060101,38214,149_19920331
30523,NM,7.5656491334376215,19920331,146814,161731,GEORGIA,12236,HABERSHAM BANK,CLARKESVILLE,201 N. WASHINGTON ST.,20110218,151,19040513,149495,151_19920331
31533,NM,10.32673032909794,19920331,45218,50684,GEORGIA,5234,COFFEE COUNTY BANK,DOUGLAS,102 N. PETERSON AVE.,19980619,152,19310701,45450,152_19920331
30107,NM,4.7303121326890425,19920331,72518,76570,GEORGIA,3622,CITIZENS BANK,BALL GROUND,STATE HWY. 5 &CARTERSVILLE S,19960524,153,19261001,72948,153_19920331
31622,NM,9.772620169651272,19920331,30403,33952,GEORGIA,3318,BANK OF ALAPAHA,ALAPAHA,245 NE RAILROAD ST.,99991231,155,19050325,30634,155_19920331
31029,NM,9.837302014869087,19920331,33309,37124,GEORGIA,3652,MONROE COUNTY BANK,FORSYTH,1 E. MAIN ST.,20140731,156,19081015,33472,156_19920331
31060,NM,8.085325993462927,19920331,15808,17439,GEORGIA,1410,BANK OF MILAN,MILAN,MOUNT ZION ST.,19990101,157,19061201,16029,157_19920331
31639,NM,7.698978011768349,19920331,29459,32290,GEORGIA,2486,UNITED BANKING CO,NASHVILLE,202 W. WASHINGTON AVE.,20030627,158,19240715,29804,158_19920331
31791,NM,9.072337264369951,19920331,38683,43076,GEORGIA,3908,SYLVESTER BANKING CO,SYLVESTER,300 N. MAIN ST.,20040228,159,18980101,39168,159_19920331
31061,NM,9.935836148469203,19920331,83223,94134,GEORGIA,9353,EXCHANGE BANK,MILLEDGEVILLE,250 W. HANCOCK ST.,99991231,160,19030601,84781,160_19920331
