ZIP,BKCLASS,EQR,REPDTE,DEPDOM,ASSET,STNAME,EQ,NAME,CITY,ADDRESS,ENDEFYMD,CERT,ESTYMD,LIAB,ID
4605,SM,7.131212685328197,20040630,284669,466807,MAINE,33289.0,UNION TRUST CO,ELLSWORTH,66 MAIN ST.,,9,19070101,433518,9_20040630
2110,SM,6.691014832254612,20040630,14881963,90895554,MASSACHUSETTS,6081835.0,STATE STREET BANK&TRUST CO,BOSTON,225 FRANKLIN ST.,99991231.0,14,17920101,84813719,14_20040630
36830,SM,6.6771149912270875,20040630,455515,597863,ALABAMA,39920.0,AUBURNBANK,AUBURN,100 N. GAY ST.,99991231.0,35,19070103,557943,35_20040630
36732,NM,10.79747074367686,20040630,168980,211920,ALABAMA,22882.0,ROBERTSON BANKING CO,DEMOPOLIS,216 N. WALNUT AVE.,99991231.0,39,18700101,189038,39_20040630
36867,NM,12.605139126199969,20040630,95865,121149,ALABAMA,15271.0,PHENIX-GIRARD BANK,PHENIX CITY,8TH AVE. &13TH ST.,99991231.0,41,19040504,105878,41_20040630
35077,NM,8.13003931867305,20040630,117981,135559,ALABAMA,11021.0,MERCHANTS BANK,HANCEVILLE,"201 COMMERCIAL ST, S.E.",20220105.0,46,19070101,124538,46_20040630
35565,NM,11.78524661719773,20040630,260886,325322,ALABAMA,38340.0,TRADERS&FARMERS BANK,HALEYVILLE,20TH ST.,20200701.0,47,19060106,286982,47_20040630
36401,NM,5.077798861480076,20040630,37329,39525,ALABAMA,2007.0,BANK OF EVERGREEN,EVERGREEN,146 W. FRONT ST.,99991231.0,49,19320901,37518,49_20040630
35582,NM,8.310144503026752,20040630,64972,81936,ALABAMA,6809.0,COMMUNITY SPIRIT BANK,RED BAY,200 4TH AVE. SW,99991231.0,50,19080317,75127,50_20040630
35592,NM,8.887348223654625,20040630,87642,106736,ALABAMA,9486.0,BANK OF VERNON,VERNON,44825 HWY. 17,99991231.0,51,19111111,97250,51_20040630
35594,NM,17.31865095705538,20040630,94902,150566,ALABAMA,26076.0,CITIZENS BANK OF WINFIELD,WINFIELD,108-110 E. 1ST AVE.,99991231.0,52,19200522,124490,52_20040630
36319,NM,8.570189182539785,20040630,139719,154454,ALABAMA,13237.0,PEOPLES COMMUNITY BANK,COLUMBIA,109 E. CHURCH ST.,20050413.0,53,19121021,141217,53_20040630
35952,NM,10.805518997173618,20040630,152024,185396,ALABAMA,20033.0,EXCHANGE BANK OF ALABAMA,ALTOONA,SIXTH &BLOUNT ST.,99991231.0,54,19090310,165363,54_20040630
35031,NM,8.078929630005817,20040630,449715,541495,ALABAMA,43747.0,COMMUNITY BANK,BLOUNTSVILLE,MAIN &LIBERTY ST.,20061107.0,57,19230723,497748,57_20040630
36502,NM,9.199033974324054,20040630,222111,275355,ALABAMA,25330.0,UNITED BANK,ATMORE,200 E. NASHVILLE AVE.,99991231.0,58,19040104,250025,58_20040630
36340,NM,16.108739041459287,20040630,98944,118743,ALABAMA,19128.0,CITIZENS BANK,GENEVA,515 COMMERCE ST.,20130101.0,59,19010101,99615,59_20040630
36750,NM,15.167610953729934,20040630,49810,59304,ALABAMA,8995.0,PEACHTREE BANK,MAPLESVILLE,MAIN ST.,20140228.0,68,19190919,50309,68_20040630
36425,NM,10.230744916236434,20040630,50910,56946,ALABAMA,5826.0,PEOPLES EXC BK MONROE CNTY,BEATRICE,SOUTH MOORE &MAIN ST.,99991231.0,70,19070823,51120,70_20040630
35040,SM,12.735105258879948,20040630,106073,123030,ALABAMA,15668.0,CENTRAL STATE BANK,CALERA,HIGHWAY 25,99991231.0,72,19160205,107362,72_20040630
36303,NM,12.36713452136887,20040630,143294,221935,ALABAMA,27447.0,BANKSOUTH,DOTHAN,3251 ROSS CLARK CIRCLE,99991231.0,77,19280101,194488,77_20040630
71671,SM,13.76124384386829,20040630,100508,122845,ARKANSAS,16905.0,WARREN BANK&TRUST CO,WARREN,201 S. MAIN ST.,99991231.0,81,19011231,105940,81_20040630
71744,NM,11.822766376311318,20040630,31828,37081,ARKANSAS,4384.0,CALHOUN COUNTY BANK,HAMPTON,200 MAIN ST.,99991231.0,88,19071008,32697,88_20040630
71701,NM,10.601978623796485,20040630,75033,90568,ARKANSAS,9602.0,FIRST BANK OF SOUTH ARKANSAS,CAMDEN,1325 HWY. 4,99991231.0,89,19330818,80966,89_20040630
